"";"ASV0099";"ASV0243";"ASV0290";"ASV0301";"ASV0309";"ASV0378";"ASV0411";"ASV0554";"ASV0644";"ASV0648";"ASV0743";"ASV0757";"ASV0781";"ASV0837";"ASV0859";"ASV1013";"ASV1025";"ASV1028";"ASV1166";"ASV1173";"ASV1334";"ASV1344";"ASV1413";"ASV1430";"ASV1461";"ASV1469";"ASV1497";"ASV1520";"ASV1541";"ASV1588";"ASV1592";"ASV1597";"ASV1599";"ASV1614";"ASV1655";"ASV1661";"ASV1663";"ASV1664";"ASV1737";"ASV1783";"ASV1787";"ASV1853";"ASV1875";"ASV1909";"ASV1935";"ASV1936";"ASV1979";"ASV1991";"ASV2065";"ASV2073";"ASV2096";"ASV2127";"ASV2152";"ASV2153";"ASV2160";"ASV2170";"ASV2174";"ASV2175";"ASV2205";"ASV2229";"ASV2230";"ASV2297";"ASV2313";"ASV2316";"ASV2351";"ASV2367";"ASV2398";"ASV2413";"ASV2428";"ASV2430";"ASV2432";"ASV2468";"ASV2505";"ASV2509";"ASV2529";"ASV2531";"ASV2547";"ASV2571";"ASV2572";"ASV2596";"ASV2633";"ASV2650";"ASV2668";"ASV2685";"ASV2690";"ASV2694";"ASV2704";"ASV2756";"ASV2778";"ASV2785";"ASV2827";"ASV2856";"ASV2875";"ASV2929";"ASV2937";"ASV2938";"ASV2966";"ASV2968";"ASV2969";"ASV3015";"ASV3022";"ASV3049";"ASV3072";"ASV3075";"ASV3099";"ASV3104";"ASV3139";"ASV3140";"ASV3141";"ASV3148";"ASV3178";"ASV3179";"ASV3211";"ASV3243";"ASV3246";"ASV3247";"ASV3309";"ASV3340";"ASV3341";"ASV3342";"ASV3345";"ASV3347";"ASV3413";"ASV3414";"ASV3415";"ASV3417";"ASV3419";"ASV3457";"ASV3459";"ASV3494";"ASV3495";"ASV3523";"ASV3527";"ASV3528";"ASV3529";"ASV3530";"ASV3531";"ASV3533";"ASV3565";"ASV3609";"ASV3641";"ASV3645";"ASV3646";"ASV3649";"ASV3652";"ASV3699";"ASV3700";"ASV3704";"ASV3705";"ASV3706";"ASV3707";"ASV3710";"ASV3711";"ASV3751";"ASV3752";"ASV3802";"ASV3803";"ASV3809";"ASV3811";"ASV3814";"ASV3850";"ASV3851";"ASV3852";"ASV3854";"ASV3857";"ASV3858";"ASV3859";"ASV3861";"ASV3862";"ASV3863";"ASV3904";"ASV3905";"ASV3906";"ASV3910";"ASV3916";"ASV3918";"ASV3921";"ASV3922";"ASV3923";"ASV3928";"ASV3930";"ASV3974";"ASV3975";"ASV3983";"ASV3985";"ASV4053";"ASV4054";"ASV4055";"ASV4057";"ASV4060";"ASV4061";"ASV4063";"ASV4113";"ASV4114";"ASV4119";"ASV4120";"ASV4121";"ASV4168";"ASV4169";"ASV4170";"ASV4171";"ASV4174";"ASV4176";"ASV4178";"ASV4179";"ASV4181";"ASV4252";"ASV4253";"ASV4260";"ASV4261";"ASV4262";"ASV4330";"ASV4336";"ASV4337";"ASV4343";"ASV4344";"ASV4347";"ASV4349";"ASV4350";"ASV4351";"ASV4425";"ASV4426";"ASV4427";"ASV4435";"ASV4441";"ASV4443";"ASV4518";"ASV4519";"ASV4520";"ASV4526";"ASV4530";"ASV4531";"ASV4532";"ASV4601";"ASV4609";"ASV4611";"ASV4615";"ASV4617";"ASV4691";"ASV4696";"ASV4697";"ASV4698";"ASV4699";"ASV4701";"ASV4702";"ASV4705";"ASV4709";"ASV4710";"ASV4712";"ASV4714";"ASV4715";"ASV4790";"ASV4791";"ASV4792";"ASV4793";"ASV4794";"ASV4795";"ASV4798";"ASV4800";"ASV4801";"ASV4803";"ASV4804";"ASV4806";"ASV4807";"ASV4808";"ASV4810";"ASV4812";"ASV4813";"ASV4913";"ASV4914";"ASV4918";"ASV4919";"ASV4922";"ASV4923";"ASV4925";"ASV4926";"ASV4927";"ASV4929";"ASV4931";"ASV4932";"ASV4933";"ASV4935";"ASV4936";"ASV4937";"ASV5042";"ASV5043";"ASV5044";"ASV5045";"ASV5046";"ASV5047";"ASV5050";"ASV5054";"ASV5055";"ASV5057";"ASV5058";"ASV5059";"ASV5060";"ASV5061";"ASV5063";"ASV5064";"ASV5065";"ASV5069";"ASV5070";"ASV5071";"ASV5173";"ASV5174";"ASV5175";"ASV5176";"ASV5177";"ASV5179";"ASV5180";"ASV5182";"ASV5186";"ASV5187";"ASV5188";"ASV5190";"ASV5191";"ASV5192";"ASV5193";"ASV5194";"ASV5195";"ASV5196";"ASV5197";"ASV5200";"ASV5318";"ASV5319";"ASV5322";"ASV5323";"ASV5326";"ASV5327";"ASV5329";"ASV5330";"ASV5331";"ASV5332";"ASV5334";"ASV5335";"ASV5337";"ASV5339";"ASV5340";"ASV5341";"ASV5457";"ASV5458";"ASV5464";"ASV5465";"ASV5466";"ASV5471";"ASV5472";"ASV5473";"ASV5474";"ASV5476";"ASV5477";"ASV5479";"ASV5480";"ASV5619";"ASV5620";"ASV5621";"ASV5622";"ASV5623";"ASV5624";"ASV5625";"ASV5628";"ASV5629";"ASV5630";"ASV5636";"ASV5637";"ASV5638";"ASV5639";"ASV5640";"ASV5641";"ASV5643";"ASV5646";"ASV5647";"ASV5650";"ASV5651";"ASV5652";"ASV5782";"ASV5783";"ASV5785";"ASV5789";"ASV5790";"ASV5791";"ASV5793";"ASV5794";"ASV5795";"ASV5796";"ASV5797";"ASV5799";"ASV5800";"ASV5801";"ASV5807";"ASV5808";"ASV5810";"ASV5811";"ASV5966";"ASV5967";"ASV5969";"ASV5971";"ASV5972";"ASV5973";"ASV5974";"ASV5975";"ASV5976";"ASV5978";"ASV5979";"ASV5982";"ASV5983";"ASV5985";"ASV5986";"ASV5989";"ASV5990";"ASV5991";"ASV5992";"ASV5993";"ASV5995";"ASV5996";"ASV5997";"ASV5998";"ASV5999";"ASV6000";"ASV6001";"ASV6002";"ASV6003";"ASV6006";"ASV6007";"ASV6008";"ASV6009";"ASV6010";"ASV6011";"ASV6012"
"C1A17";0;0;0;701;1517;0;0;605;464;0;59;215;425;0;0;182;0;0;0;0;147;0;0;0;111;0;73;0;67;0;0;61;8;0;65;91;0;0;135;0;81;121;0;0;0;0;94;0;0;101;0;0;95;0;0;13;0;0;0;90;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;49;0;48;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;34;0;0;0;0;0;0;0;33;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;30;30;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;10;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1F18";0;0;0;0;0;0;0;16;17;97;0;0;13;117;119;10;0;310;0;0;0;0;0;0;0;0;0;0;0;55;99;0;0;18;0;0;93;69;0;0;5;0;0;0;0;0;0;0;0;0;0;33;0;34;0;0;0;0;92;0;90;0;85;0;83;0;80;0;22;0;0;0;0;0;0;0;45;0;0;0;0;0;14;31;0;0;21;0;0;0;0;0;0;0;0;0;29;0;0;36;0;0;10;0;0;0;0;0;48;0;0;0;0;45;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;11;32;20;0;0;0;0;31;16;0;0;0;0;0;0;0;0;0;30;10;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;26;26;24;0;0;0;0;0;14;13;0;0;0;6;0;0;0;0;0;0;0;0;23;23;23;0;0;0;0;22;22;0;0;0;0;21;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;19;19;19;19;19;19;0;0;0;0;0;0;0;0;0;0;0;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;17;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;13;13;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1A18";0;0;0;42;0;0;0;8;5;0;0;0;9;0;0;19;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;10;0;0;17;0;0;0;0;0;0;0;0;68;28;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;35;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;4;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;16;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;11;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A17";0;1650;1429;0;0;0;0;36;60;0;17;35;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";0;0;0;0;0;0;288;0;0;35;0;0;0;66;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;98;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;26;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;14;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;20;0;0;0;0;0;4;0;12;0;0;0;0;0;15;0;31;0;0;0;0;0;0;0;0;20;30;0;0;0;0;0;0;0;0;0;0;28;28;28;0;0;0;0;0;0;0;0;0;0;0;0;2;0;26;0;0;0;11;12;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;22;0;0;0;0;21;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;13;13;13;0;0;0;0;0;0;0;0;0;0;0;12;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;11;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2A18";0;0;0;0;0;0;0;10;5;0;59;0;1;0;0;0;0;0;0;0;64;66;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;53;0;0;0;0;0;21;0;18;0;0;0;0;26;0;0;0;0;0;0;6;0;0;18;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;20;0;0;0;0;0;16;0;0;0;14;0;0;0;0;0;4;0;0;0;32;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;14;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;19;0;0;0;0;0;0;0;0;0;0;0;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;15;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3A17";0;171;164;43;0;1216;61;73;0;0;284;0;0;0;0;0;246;0;51;0;0;0;0;29;0;0;50;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;4;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;25;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3F18";0;0;0;335;0;0;454;0;0;271;0;104;0;115;84;0;0;0;69;147;0;0;0;116;0;0;0;120;45;55;0;40;0;27;0;54;0;34;0;0;33;0;22;0;107;78;0;0;0;0;0;64;0;25;0;0;0;0;0;0;0;19;0;50;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;22;0;47;0;0;52;0;15;58;57;0;55;0;0;54;0;0;0;0;8;0;0;0;0;0;0;0;47;0;0;0;45;0;0;22;0;0;43;18;41;41;0;0;0;30;0;0;0;0;0;0;38;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;27;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;24;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;0;0;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3A18";0;0;0;90;0;0;0;0;0;0;0;52;0;0;0;79;29;0;0;6;0;57;103;0;0;50;0;0;0;0;0;0;102;0;0;0;0;0;0;30;0;0;0;69;0;0;0;108;49;0;100;0;0;0;42;0;32;0;0;0;0;41;0;0;0;0;0;6;39;0;78;0;0;0;47;0;0;0;0;0;0;0;20;0;16;0;0;0;0;0;0;0;0;0;0;27;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;24;0;0;0;0;0;41;0;0;0;25;18;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;31;0;0;0;0;0;0;0;0;30;0;0;0;0;15;0;0;0;0;0;28;28;0;0;0;0;0;27;0;0;0;0;0;0;0;26;0;0;0;0;25;25;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;21;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;17;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;16;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;14;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;11;11;11;11;11;11;11;11;0;0;0;0;0;0;0
"C4A17";4338;0;0;0;0;0;0;0;60;0;95;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;22;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;21;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
