Sample;Site;Input_reads;After_filtering;denoisedF;denoisedR;Merged;Chimera_removal;ASV;ASV_abundance;Euks_ASV_abundance;Chao1;Chao1_std_error;ACE;ACE_std_error;Shannon_index;Simpson_index;Invsimpson;Unbiased_Simpson;ASV_PPE;ASV_PPE_abundance;PPE_Chao1;PPE_Chao1_std_error;PPE_ACE;PPE_ACE_std_error;PPE_Shannon_index;PPE_Simpson_index;PPE_Invsimpson;PPE_unbiased_Simpson;ASV_Core;ASV_Core_Abundance;Core_Chao1;Core_Chao1_std_error;Core_ACE;Core_ACE_std_error;Core_Shannon_index;Core_Simpson_index;Core_Invsimpson;Core_unbiased_Simpson
C1A17;Chañaral;96038;69746;69360;69284;66147;58215;220;58042;57381;220;0.099772468;220.1952228;5.644006462;3.906090008;0.959979384;24.9871215;0.959996114;81;13905;81;0.496903995;81.21594223;2.913183519;3.171263089;0.917861913;12.17462007;0.917927927;13;7385;13;0;13;0.960768923;1.625027743;0.748832805;3.981411663;0.748934218
C1F18;Chañaral;87144;73752;72967;72359;68556;62076;781;61680;60244;793.2142857;7.435302463;786.0572896;11.80301932;5.341545666;0.985743693;70.14439108;0.985760055;217;22431;221.2;4.340700229;218.9612751;6.820269669;3.866026839;0.945781505;18.44389064;0.945823671;77;17373;77;0;77;3.384456449;3.04977695;0.911446461;11.2926035;0.911498928
C1A18;Chañaral;73976;62237;61197;60934;54915;44453;569;44096;43872;580.5;6.426007449;576.8035876;11.24651184;4.756330121;0.975789651;41.30465118;0.975811894;171;23550;172.5;2.231577154;172.3382464;5.098214738;3.621857373;0.93654932;15.76027228;0.93658909;66;20580;66;0.165399221;66.68518519;2.285408876;3.102684123;0.917369751;12.10210568;0.917414329
C2A17;Chañaral;70701;59514;59312;59132;57639;55847;87;55782;55682;87.33333333;0.925074531;87.48908898;4.017274824;2.103782179;0.816392156;5.446390396;0.816406818;23;634;23;0;23;2.340568493;2.760260915;0.920926669;12.6464888;0.922381529;8;246;8;0;8;1.224744871;1.81516504;0.795789543;4.896908885;0.799037664
C2F18;Chañaral;79975;68308;67550;67039;63600;55836;675;55473;54176;677.3684211;2.26889687;677.5756852;10.5999315;5.215995436;0.984350048;63.89796108;0.984368218;176;18377;176.375;0.826461228;176.8523753;5.697448044;4.104236816;0.971039379;34.52964594;0.971092221;66;5610;66;0.124049416;66.30007935;3.283807372;3.452180055;0.952124771;20.88762847;0.95229452
C2A18;Chañaral;83499;71829;70828;70723;65737;54989;529;54788;51955;538.1;6.485605821;533.1548414;9.839500888;4.620054845;0.974113216;38.62975089;0.974131966;197;21332;197;0.249364675;197.1766355;5.825534078;3.896072153;0.954973709;22.2092465;0.955018478;68;17355;68;0;68;2.505875449;3.202624236;0.933057832;14.93826724;0.933111598
C3A17;Chañaral;86841;73343;73065;72780;71394;68752;176;68640;68136;177.5;2.595635557;176.6176819;5.452002736;2.775839184;0.871425226;7.777575433;0.871438016;65;8860;65.5;1.295728449;65.60672637;3.416412903;2.870323302;0.896165305;9.630692351;0.896266464;15;4056;15;0;15;0.966091783;1.53354554;0.684142663;3.165986299;0.684311379
C3F18;Chañaral;93980;78103;77470;77137;74996;69292;396;69006;65880;409;9.636908641;400.7946562;7.834003192;4.571646279;0.977177798;43.81698088;0.977192631;161;39477;170;8.047429485;165.6462778;5.478933062;3.482408929;0.944986381;18.17731702;0.945010319;35;11307;36.5;2.58618564;36.91297744;2.752802444;1.653219568;0.672446409;3.052935547;0.672505886
C3A18;Chañaral;85108;66518;65243;64832;57923;47600;754;47170;46519;770.24;8.003371847;765.2154151;11.98601645;5.634779566;0.992015359;125.2404514;0.992036685;268;20741;271.5;3.444975548;271.3956697;6.279436921;4.791647763;0.986691678;75.14095067;0.986739252;78;114995;78.25;0.736016811;79.58297738;3.048873731;3.799827407;0.97067614;34.10192223;0.97076059
C4A17;Chañaral;80543;66985;66663;66500;63891;57466;115;57353;57058;115.3333333;0.925371275;115.5057827;4.392444906;2.74136259;0.884677702;8.671349951;0.884693208;33;1202;33.5;1.292559072;33.90244558;2.726764492;3.060766233;0.941306918;17.03778302;0.942090687;7;265;7;0.46291005;NA;NA;1.70077467;0.802819509;5.071495631;0.805860492
