;Samples;NMDS1;NMDS2;Label;Date;Site;Vanadium;Iron;Nickel;Copper;Zinc;Molybdenum;Cu.lvl
1;C1A17;-1,448037318;-1,000536688;CC1;A17;Chanaral;0;0,73;0;11,66;0;5,27;Higher
2;C1F18;0,030688013;-0,052237567;MC1;F18;Chanaral;5;28,7;14;15,2;28,8;17,8;Higher
3;C1A18;0,279561391;-0,171491747;MC1;A18;Chanaral;5;24,4;27,1;5;20;22,9;Higher
4;C2A17;-1,764651545;-0,447255675;CC2;A17;Chanaral;0;0;0;24,34;0;6,39;Higher
5;C2F18;-0,242232268;-0,036063593;MC2;F18;Chanaral;5;20,4;16;14;20,9;30;Higher
6;C2A18;0,261506926;-0,237351553;MC2;A18;Chanaral;5;36,1;26,1;5;20;21,7;Higher
7;C3A17;-1,672750211;0,181191675;CC3;A17;Chanaral;0;1,69;0;24,17;1,64;8,4;Higher
8;C3F18;-1,284675863;-0,004639728;MC3;F18;Chanaral;5;27;15,6;18,9;24,9;21,6;Higher
9;C3A18;0,217392691;-0,374434646;MC3;A18;Chanaral;5;20;29;5;20;22,6;Higher
10;C4A17;-1,695691542;0,448577326;CC4;A17;Chanaral;0,15;2,07;0;13,13;1,37;5,81;Higher
11;C4F18;-1,010148223;-0,209664018;MC4;F18;Chanaral;5;23;14,5;19,9;26,8;18,6;Higher
12;C4A18;0,261749738;-0,388842871;MC4;A18;Chanaral;5;29,2;29,5;21,6;20;21,7;Higher
13;F1A17;-0,079209983;-0,163901995;CF1;A17;Flamenco;0;1,86;0;0,89;0;4,34;Lower
14;F1F18;-0,44452003;0,055414292;MF1;F18;Flamenco;5;34,8;13,5;5;20;17,7;Higher
15;F1A18;0,164241878;-0,183079788;MF1;A18;Flamenco;5;31,2;27,8;5;21,8;21,9;Higher
16;F2A17;0,002280822;-0,144420678;CF2;A17;Flamenco;0,15;0;0;0,61;0;5,3;Lower
17;F2F18;-0,024292269;0,008883748;MF2;F18;Flamenco;6,6;27,7;13,3;5;20;99,9;Higher
18;F2A18;0,251125185;-0,062552551;MF2;A18;Flamenco;5;27,1;26,5;5;20;21,7;Higher
19;F3A17;-0,040659634;-0,185842662;CF3;A17;Flamenco;0,21;1,11;1,69;1,5;0;8,57;Lower
20;F3F18;0,033973631;-0,024137144;MF3;F18;Flamenco;5;21;13,4;5;20;17,6;Higher
21;F3A18;0,125683881;-0,351509102;MF3;A18;Flamenco;5;30,4;25,9;5;20;21,9;Higher
22;F4A17;-0,183416607;-0,562604972;CF4;A17;Flamenco;0,11;0;0;0,83;0;5,38;Lower
23;F4F18;0,055849927;-0,011604503;MF4;F18;Flamenco;5;40,6;16,5;5;21,8;62,6;Higher
24;F4A18;0,180566222;-0,082406886;MF4;A18;Flamenco;5;38,9;28,4;5;20;22;Higher
25;H1A17;0,207986979;0,068229047;CH1;A17;Huasco;0,19;4,86;1,03;0,98;1,1;7;Lower
26;H1F18;0,317435901;0,032494352;MH1;F18;Huasco;5;35;13,1;5,7;20;17;Higher
27;H1A18;0,320842098;-0,042046328;MH1;A18;Huasco;5;29;27,9;5;20;22;Higher
28;H2A17;0,277567238;0,08298444;CH2;A17;Huasco;0,2;0,92;1,61;0,68;0,69;7,78;Lower
29;H2F18;0,30855312;-0,001690144;MH2;F18;Huasco;5;33,9;13;5;23,2;17,1;Higher
30;H2A18;0,306953755;-0,057055681;MH2;A18;Huasco;5;56,7;28,8;5;43,2;22,3;Higher
31;H3A17;0,262554606;0,007765956;CH3;A17;Huasco;0,43;3,36;2,03;1,85;2,47;8,73;Lower
32;H3F18;0,298696641;0,00673759;MH3;F18;Huasco;5;46,6;13,3;5;20;25,1;Higher
33;H3A18;0,28438569;-0,04684351;MH3;A18;Huasco;5;53,3;29,1;5;20;21,5;Higher
34;H4A17;0,24654004;-0,025030677;CH4;A17;Huasco;0,31;4;2,01;2,15;2,1;7,5;Lower
35;H4F18;0,295690922;0,0199945;MH4;F18;Huasco;5;62,9;14,3;5;24;21,6;Higher
36;H4A18;0,267766486;-0,116161024;MH4;A18;Huasco;5;23,5;28,8;5;20;21,2;Higher
37;P1F18;0,237026301;-0,081052725;MP1;F18;Pta_Choros;5;28,3;13,9;5;20;18,1;Higher
38;P1A18;-0,033985651;-0,319803475;MP1;A18;Pta_Choros;5;25,2;26,8;5;20;20,5;Higher
39;P2F18;0,203785096;-0,058538079;MP2;F18;Pta_Choros;5;41,1;13,9;5;20;17,5;Higher
40;P3F18;0,196935221;-0,057019828;MP3;F18;Pta_Choros;5;37,7;14;5;20;16,9;Higher
41;P4F18;0,225665083;-0,07677829;MP4;F18;Pta_Choros;5;44,4;14,6;5;40,6;17,3;Higher
42;Q1A17;-0,377179984;0,851765592;NQ1;A17;Quintero;0,14;0;0,96;0,22;0,2;7,09;Lower
43;Q1F18;-0,833096466;1,23754162;MQ1;F18;Quintero;5;37;13,7;5;20;17,8;Higher
44;Q2A17;0,161003703;0,173680298;NQ2;A17;Quintero;0,67;1,36;1,48;0,29;3,69;8,48;Lower
45;Q2F18;0,155823704;0,270064057;MQ2;F18;Quintero;5;43,6;14,4;5;20;28,4;Higher
46;Q3A17;0,091670132;0,378512824;NQ3;A17;Quintero;0,51;1,38;1,82;0,34;0,69;8,7;Lower
47;Q3F18;0,054928706;0,208530045;MQ3;F18;Quintero;5;38,9;13,3;5;20;20,8;Higher
48;Q3A18;0,289194822;-0,096874392;MQ3;A18;Quintero;5;29,1;27,8;5;20;28,8;Higher
49;Q4A17;0,168025276;0,359388943;NQ4;A17;Quintero;0,23;1,63;2,2;1,11;0,55;8,82;Lower
