"","Invsimpson","Site"
"C1A17",3.98141166296655,"Chanaral"
"C1F18",11.2926034995865,"Chanaral"
"C1A18",12.1021056768485,"Chanaral"
"C2A17",4.89690888493284,"Chanaral"
"C2F18",20.8876284732408,"Chanaral"
"C2A18",14.9382672422836,"Chanaral"
"C3A17",3.1659862992503,"Chanaral"
"C3F18",3.05293554697952,"Chanaral"
"C3A18",34.1019222346762,"Chanaral"
"C4A17",5.07149563082256,"Chanaral"
"C4F18",4.75201871100665,"Chanaral"
"C4A18",29.5645340095468,"Chanaral"
"F1A17",21.160790701044,"Flamenco"
"F1F18",20.1061448456435,"Flamenco"
"F1A18",16.3987952255619,"Flamenco"
"F2A17",24.4924780131458,"Flamenco"
"F2F18",15.7359254930055,"Flamenco"
"F2A18",8.05127826121431,"Flamenco"
"F3A17",20.8198501904287,"Flamenco"
"F3F18",16.7296227897182,"Flamenco"
"F3A18",18.1396619101454,"Flamenco"
"F4A17",20.5103741761378,"Flamenco"
"F4F18",14.2844223495055,"Flamenco"
"F4A18",12.7430073628297,"Flamenco"
"H1A17",6.38785269109752,"Huasco"
"H1F18",5.90090221403555,"Huasco"
"H1A18",6.47391553373062,"Huasco"
"H2A17",5.67307701975298,"Huasco"
"H2F18",6.24038933213038,"Huasco"
"H2A18",6.79664507542637,"Huasco"
"H3A17",5.83524322390464,"Huasco"
"H3F18",6.62780410974012,"Huasco"
"H3A18",6.39705652352269,"Huasco"
"H4A17",6.4005893529285,"Huasco"
"H4F18",6.38606783920786,"Huasco"
"H4A18",10.4122064562452,"Huasco"
"P1F18",12.0751092412154,"Pta_Choros"
"P1A18",13.6602838591146,"Pta_Choros"
"P2F18",13.5455945702662,"Pta_Choros"
"P3F18",13.0223141489331,"Pta_Choros"
"P4F18",11.9885069363458,"Pta_Choros"
"Q1A17",11.9127030074042,"Quintero"
"Q1F18",7.35871729912075,"Quintero"
"Q2A17",12.3829558121324,"Quintero"
"Q2F18",8.82502750785838,"Quintero"
"Q3A17",14.9531031810194,"Quintero"
"Q3F18",12.1720401781304,"Quintero"
"Q3A18",13.3117475693224,"Quintero"
"Q4A17",13.1555722765655,"Quintero"
"Q4F18",15.5311834429996,"Quintero"
"Q4A18",8.50680189730536,"Quintero"
"L1A17",7.06901688284178,"Las_Cruces"
"L1F18",13.9366230846668,"Las_Cruces"
"L1A18",9.10656592881215,"Las_Cruces"
"L2A17",7.46971931145701,"Las_Cruces"
"L2F18",10.7431014152684,"Las_Cruces"
"L2A18",8.32754119419713,"Las_Cruces"
"L3A17",7.60948252859006,"Las_Cruces"
"L3F18",8.14432230838939,"Las_Cruces"
"L3A18",8.78355431149708,"Las_Cruces"
"L4A17",6.82962230226334,"Las_Cruces"
"L4F18",7.77741646212916,"Las_Cruces"
"L4A18",7.65599616505723,"Las_Cruces"
