"","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","Site"
"C1A17",13,13,0,13,0.960768922830523,"Chanaral"
"C1F18",77,77,0,77,3.3844564489066,"Chanaral"
"C1A18",66,66,0.165399221149624,66.6851851851852,2.28540887576985,"Chanaral"
"C2A17",8,8,0,8,1.22474487139159,"Chanaral"
"C2F18",66,66,0.124049415862218,66.3000793457031,3.28380737232529,"Chanaral"
"C2A18",68,68,0,68,2.50587544876155,"Chanaral"
"C3A17",15,15,0,15,0.966091783079296,"Chanaral"
"C3F18",35,36.5,2.58618563996933,36.9129774358723,2.75280244437303,"Chanaral"
"C3A18",78,78.25,0.736016811496254,79.5829773769973,3.04887373072671,"Chanaral"
"C4A17",7,7,0.462910049886276,NA,NA,"Chanaral"
"C4F18",41,41,0.493864798324795,41.2692307692308,2.3029194750145,"Chanaral"
"C4A18",69,69,0,69,2.15352760823266,"Chanaral"
"F1A17",50,50,0.247487373415292,50.3822040816327,2.41763460072207,"Flamenco"
"F1F18",40,40,0.493710441453287,40.431,1.83842747996954,"Flamenco"
"F1A18",78,81,4.63680924774785,79.8219079232212,2.86946692752797,"Flamenco"
"F2A17",64,64.375,0.826133344161925,66.1615713346483,3.46454794871651,"Flamenco"
"F2F18",63,63.5,1.29562407058663,63.6804086538462,3.06295647635519,"Flamenco"
"F2A18",75,75,0.124163870214595,75.531328,2.61191004682226,"Flamenco"
"F3A17",42,42,0.247005880014838,42.4968246710359,2.37436491123014,"Flamenco"
"F3F18",81,81.5,1.29637886418639,81.594308738353,3.34199644240624,"Flamenco"
"F3A18",70,70,0,70,2.66190050259477,"Flamenco"
"F4A17",33,33,0,33,2.46182981958665,"Flamenco"
"F4F18",65,65,0,65,3.39683110243379,"Flamenco"
"F4A18",76,76,0.16556654463313,76.2727272727273,2.72549186894638,"Flamenco"
"H1A17",62,62,0,62,3.37208655611559,"Huasco"
"H1F18",61,61,0,61,2.14246678723994,"Huasco"
"H1A18",62,62,0.495951350371671,62.4373804169044,2.30571312433666,"Huasco"
"H2A17",55,55.25,0.735663792817989,55.7270018327334,3.13881606455075,"Huasco"
"H2F18",66,66,0,66,3.02765035409749,"Huasco"
"H2A18",73,73,0.24828176658071,73.2812642239417,2.89448434326389,"Huasco"
"H3A17",60,60.5,1.29545454545455,60.703213610586,3.29748739118128,"Huasco"
"H3F18",69,69,0,69,2.65941041738878,"Huasco"
"H3A18",67,67,0.248127314455915,67.4076938733971,2.02688499187532,"Huasco"
"H4A17",60,60,0,60,2.99722093502186,"Huasco"
"H4F18",68,68,0,68,2.65684465662029,"Huasco"
"H4A18",77,77,0,77,2.94979638302353,"Huasco"
"P1F18",72,72,0,72,2.34520787991171,"Pta_Choros"
"P1A18",80,80,0.165621724286265,80.1793870344968,3.77192483424004,"Pta_Choros"
"P2F18",74,74,0,74,1.39497166492583,"Pta_Choros"
"P3F18",75,75,0,75,2.81424945589406,"Pta_Choros"
"P4F18",72,72,0,72,1.9436506316151,"Pta_Choros"
"Q1A17",22,22,0.244252105229599,22.7012201706079,1.89017921582143,"Quintero"
"Q1F18",13,13,0.480384461415261,13.62109375,1.35489527251955,"Quintero"
"Q2A17",46,46,0.49453535504684,46.1596067877362,2.50906393477531,"Quintero"
"Q2F18",39,39,0,39,0.987096233585649,"Quintero"
"Q3A17",34,34,0,34,1.65387246111877,"Quintero"
"Q3F18",57,57,0,57,2.62244027242874,"Quintero"
"Q3A18",75,75,0,75,3.17490157327751,"Quintero"
"Q4A17",40,40,0.246855220726644,40.4377037037037,2.36212434265311,"Quintero"
"Q4F18",26,26,0,26,1.35873244097351,"Quintero"
"Q4A18",59,59,0.495744603464734,59.423163036841,2.45538684353455,"Quintero"
"L1A17",41,41,0,41,2.65035662579632,"Las_Cruces"
"L1F18",33,33,0,33,1.87487373312218,"Las_Cruces"
"L1A18",45,45,0.247206616236522,45.7546296296296,1.8272734785762,"Las_Cruces"
"L2A17",37,37,0,37,1.88880056320607,"Las_Cruces"
"L2F18",72,72,0,72,3.05277651400237,"Las_Cruces"
"L2A18",40,40,0,40,2.09165006633519,"Las_Cruces"
"L3A17",41,41,0,41,2.53752327875902,"Las_Cruces"
"L3F18",57,60,4.62736426056994,58.5634861932939,2.94460645955113,"Las_Cruces"
"L3A18",50,50,0.247487373415292,50.6927755403962,2.16233726671409,"Las_Cruces"
"L4A17",37,37,0,37,2.78023914973689,"Las_Cruces"
"L4F18",68,68.3333333333333,0.924734554228619,68.8103442154859,3.31432721561588,"Las_Cruces"
"L4A18",49,49,0,49,2.29462548631557,"Las_Cruces"
