"","Shannon","Site"
"C1A17",1.62502774305326,"Chanaral"
"C1F18",3.0497769504871,"Chanaral"
"C1A18",3.10268412338736,"Chanaral"
"C2A17",1.81516503957792,"Chanaral"
"C2F18",3.45218005478937,"Chanaral"
"C2A18",3.20262423627591,"Chanaral"
"C3A17",1.53354553965537,"Chanaral"
"C3F18",1.65321956827737,"Chanaral"
"C3A18",3.79982740677272,"Chanaral"
"C4A17",1.70077466963265,"Chanaral"
"C4F18",2.2564717298948,"Chanaral"
"C4A18",3.67137465437138,"Chanaral"
"F1A17",3.28623232044068,"Flamenco"
"F1F18",3.26608743389432,"Flamenco"
"F1A18",3.31661115817612,"Flamenco"
"F2A17",3.48518807496459,"Flamenco"
"F2F18",3.33071711332896,"Flamenco"
"F2A18",2.7642001734334,"Flamenco"
"F3A17",3.28765973293811,"Flamenco"
"F3F18",3.42520761223727,"Flamenco"
"F3A18",3.25960620233585,"Flamenco"
"F4A17",3.17501444524692,"Flamenco"
"F4F18",3.23824468849644,"Flamenco"
"F4A18",3.23118851161856,"Flamenco"
"H1A17",2.39146927623232,"Huasco"
"H1F18",2.27039916509976,"Huasco"
"H1A18",2.44601769361745,"Huasco"
"H2A17",2.19015159619138,"Huasco"
"H2F18",2.37794402003153,"Huasco"
"H2A18",2.54840327898784,"Huasco"
"H3A17",2.29641376236087,"Huasco"
"H3F18",2.41899176702841,"Huasco"
"H3A18",2.46716424403358,"Huasco"
"H4A17",2.43551019359278,"Huasco"
"H4F18",2.38376634471874,"Huasco"
"H4A18",3.03662023660989,"Huasco"
"P1F18",3.10721529239648,"Pta_Choros"
"P1A18",3.24888788284358,"Pta_Choros"
"P2F18",3.24915930934851,"Pta_Choros"
"P3F18",3.13894240771113,"Pta_Choros"
"P4F18",3.10988353419325,"Pta_Choros"
"Q1A17",2.67865399026671,"Quintero"
"Q1F18",2.15484418951346,"Quintero"
"Q2A17",3.04190657816554,"Quintero"
"Q2F18",2.73098456250388,"Quintero"
"Q3A17",3.03709898601918,"Quintero"
"Q3F18",2.98176875575062,"Quintero"
"Q3A18",3.19910939619813,"Quintero"
"Q4A17",3.01418178800867,"Quintero"
"Q4F18",2.94130659332964,"Quintero"
"Q4A18",2.68557693219449,"Quintero"
"L1A17",2.40948776488435,"Las_Cruces"
"L1F18",2.92163556140138,"Las_Cruces"
"L1A18",2.64633998935405,"Las_Cruces"
"L2A17",2.48900259311662,"Las_Cruces"
"L2F18",2.88153350487774,"Las_Cruces"
"L2A18",2.567492538171,"Las_Cruces"
"L3A17",2.45212914558309,"Las_Cruces"
"L3F18",2.68030867779468,"Las_Cruces"
"L3A18",2.6665315973861,"Las_Cruces"
"L4A17",2.31519683850144,"Las_Cruces"
"L4F18",2.64459478364722,"Las_Cruces"
"L4A18",2.49502908174573,"Las_Cruces"
