"","Simpson","Site"
"C1A17",0.748832804881347,"Chanaral"
"C1F18",0.911446461390713,"Chanaral"
"C1A18",0.917369751454657,"Chanaral"
"C2A17",0.795789543261286,"Chanaral"
"C2F18",0.952124770828766,"Chanaral"
"C2A18",0.933057831689512,"Chanaral"
"C3A17",0.684142663461052,"Chanaral"
"C3F18",0.672446409492867,"Chanaral"
"C3A18",0.970676139804719,"Chanaral"
"C4A17",0.802819508721965,"Chanaral"
"C4F18",0.789563118157806,"Chanaral"
"C4A18",0.966175688760151,"Chanaral"
"F1A17",0.952742786688464,"Flamenco"
"F1F18",0.950263961208025,"Flamenco"
"F1A18",0.939019910533352,"Flamenco"
"F2A17",0.95917113819748,"Flamenco"
"F2F18",0.936451148015127,"Flamenco"
"F2A18",0.875796119876103,"Flamenco"
"F3A17",0.951968914720639,"Flamenco"
"F3F18",0.940225789154398,"Flamenco"
"F3A18",0.944872180917512,"Flamenco"
"F4A17",0.951244185434539,"Flamenco"
"F4F18",0.929993668940024,"Flamenco"
"F4A18",0.92152558877766,"Flamenco"
"H1A17",0.843452870885132,"Huasco"
"H1F18",0.830534388856426,"Huasco"
"H1A18",0.845533974796278,"Huasco"
"H2A17",0.823728816563195,"Huasco"
"H2F18",0.839753587993105,"Huasco"
"H2A18",0.852868586059385,"Huasco"
"H3A17",0.828627537597164,"Huasco"
"H3F18",0.849120465324191,"Huasco"
"H3A18",0.843678104715366,"Huasco"
"H4A17",0.843764387174368,"Huasco"
"H4F18",0.843409117288043,"Huasco"
"H4A18",0.903958877092741,"Huasco"
"P1F18",0.917185014228546,"Pta_Choros"
"P1A18",0.926795079054469,"Pta_Choros"
"P2F18",0.926175259800327,"Pta_Choros"
"P3F18",0.923208733212604,"Pta_Choros"
"P4F18",0.916586777210073,"Pta_Choros"
"Q1A17",0.916055995068587,"Quintero"
"Q1F18",0.864106751305763,"Quintero"
"Q2A17",0.919243836837386,"Quintero"
"Q2F18",0.886685905612245,"Quintero"
"Q3A17",0.933124249335125,"Quintero"
"Q3F18",0.917844503849346,"Quintero"
"Q3A18",0.924878383188053,"Quintero"
"Q4A17",0.923986583101266,"Quintero"
"Q4F18",0.93561340617281,"Quintero"
"Q4A18",0.882447009807909,"Quintero"
"L1A17",0.858537613281524,"Las_Cruces"
"L1F18",0.928246606518317,"Las_Cruces"
"L1A18",0.890189122022813,"Las_Cruces"
"L2A17",0.866126161063883,"Las_Cruces"
"L2F18",0.90691701014953,"Las_Cruces"
"L2A18",0.879916535183659,"Las_Cruces"
"L3A17",0.868585019251593,"Las_Cruces"
"L3F18",0.877215075467985,"Las_Cruces"
"L3A18",0.886150871898058,"Las_Cruces"
"L4A17",0.853579018612991,"Las_Cruces"
"L4F18",0.871422598382209,"Las_Cruces"
"L4A18",0.869383424646409,"Las_Cruces"
