"","Unbiased","Site"
"C1A17",0.748934217774722,"Chanaral"
"C1F18",0.911498927800043,"Chanaral"
"C1A18",0.917414329410434,"Chanaral"
"C2A17",0.799037663846008,"Chanaral"
"C2F18",0.952294520297507,"Chanaral"
"C2A18",0.933111597843469,"Chanaral"
"C3A17",0.684311379284301,"Chanaral"
"C3F18",0.672505886444117,"Chanaral"
"C3A18",0.970760590486746,"Chanaral"
"C4A17",0.805860491709567,"Chanaral"
"C4F18",0.789666653840644,"Chanaral"
"C4A18",0.966237658850896,"Chanaral"
"F1A17",0.952858537239528,"Flamenco"
"F1F18",0.950667985001092,"Flamenco"
"F1A18",0.939068896913082,"Flamenco"
"F2A17",0.959291819014787,"Flamenco"
"F2F18",0.936656195343376,"Flamenco"
"F2A18",0.875827958902982,"Flamenco"
"F3A17",0.952240130935585,"Flamenco"
"F3F18",0.940343273321739,"Flamenco"
"F3A18",0.944930237579867,"Flamenco"
"F4A17",0.951722919297284,"Flamenco"
"F4F18",0.930107360097581,"Flamenco"
"F4A18",0.921573480139914,"Flamenco"
"H1A17",0.843481970518385,"Huasco"
"H1F18",0.830553297728668,"Huasco"
"H1A18",0.845558417139614,"Huasco"
"H2A17",0.823758932416414,"Huasco"
"H2F18",0.839775940888552,"Huasco"
"H2A18",0.852894454862759,"Huasco"
"H3A17",0.828658681983268,"Huasco"
"H3F18",0.84913684275146,"Huasco"
"H3A18",0.843705912167629,"Huasco"
"H4A17",0.84379827193325,"Huasco"
"H4F18",0.843427466629162,"Huasco"
"H4A18",0.903981752861796,"Huasco"
"P1F18",0.917216243926925,"Pta_Choros"
"P1A18",0.926914020928128,"Pta_Choros"
"P2F18",0.926208420389591,"Pta_Choros"
"P3F18",0.923245261215446,"Pta_Choros"
"P4F18",0.916618707355994,"Pta_Choros"
"Q1A17",0.916902627226749,"Quintero"
"Q1F18",0.865280809391764,"Quintero"
"Q2A17",0.919491878887108,"Quintero"
"Q2F18",0.886844270660729,"Quintero"
"Q3A17",0.933436226683655,"Quintero"
"Q3F18",0.917942784661218,"Quintero"
"Q3A18",0.924927081501997,"Quintero"
"Q4A17",0.924333946478433,"Quintero"
"Q4F18",0.936077040169919,"Quintero"
"Q4A18",0.882478854454764,"Quintero"
"L1A17",0.858584726139784,"Las_Cruces"
"L1F18",0.928523034930125,"Las_Cruces"
"L1A18",0.890233909159137,"Las_Cruces"
"L2A17",0.866182476158842,"Las_Cruces"
"L2F18",0.906958869145838,"Las_Cruces"
"L2A18",0.879953102383932,"Las_Cruces"
"L3A17",0.868632571261759,"Las_Cruces"
"L3F18",0.877321404567855,"Las_Cruces"
"L3A18",0.886181736405365,"Las_Cruces"
"L4A17",0.85362247765371,"Las_Cruces"
"L4F18",0.871466432516519,"Las_Cruces"
"L4A18",0.869413926117281,"Las_Cruces"
