"","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","Site"
"C1A17",81,81,0.496903994999953,81.2159422336266,2.91318351937196,"Chanaral"
"C1F18",217,221.2,4.34070022934234,218.961275083475,6.82026966922548,"Chanaral"
"C1A18",171,172.5,2.23157715398838,172.338246409675,5.09821473805136,"Chanaral"
"C2A17",23,23,0,23,2.34056849281648,"Chanaral"
"C2F18",176,176.375,0.826461227993864,176.85237530001,5.69744804389147,"Chanaral"
"C2A18",197,197,0.249364674957684,197.176635507053,5.82553407774181,"Chanaral"
"C3A17",65,65.5,1.29572844907429,65.606726369047,3.41641290285432,"Chanaral"
"C3F18",161,170,8.04742948546487,165.646277750575,5.47893306217181,"Chanaral"
"C3A18",268,271.5,3.44497554798914,271.395669694693,6.27943692136659,"Chanaral"
"C4A17",33,33.5,1.29255907223766,33.9024455791454,2.72676449246685,"Chanaral"
"C4F18",190,194.2,4.34052852168717,192.562368116802,5.64325422624758,"Chanaral"
"C4A18",253,253.375,0.82651848715521,253.68879870107,6.61126166589815,"Chanaral"
"F1A17",151,155.2,4.34017500478552,154.52998266207,4.88842023231864,"Flamenco"
"F1F18",115,117.5,3.16017438247632,116.901020934237,4.67216046519744,"Flamenco"
"F1A18",189,191.142857142857,2.53108288340345,191.185534935375,6.18683493926256,"Flamenco"
"F2A17",144,144.545454545455,0.987234140368201,145.724045651318,5.17077159079778,"Flamenco"
"F2F18",157,158,1.44973262484649,158.785980138308,5.66677482818659,"Flamenco"
"F2A18",173,173.75,1.25557491077384,174.14685010278,5.90231132048664,"Flamenco"
"F3A17",77,77.3333333333333,0.924916435653339,77.5606591598753,3.77017026594671,"Flamenco"
"F3F18",206,213.2,6.44039727603591,209.002970897785,6.38045163359305,"Flamenco"
"F3A18",141,141.25,0.736394852180937,141.509794997758,4.99458868958549,"Flamenco"
"F4A17",47,47,0,47,2.90267668108138,"Flamenco"
"F4F18",199,199.375,0.826482964237239,199.756097778626,6.3753472556329,"Flamenco"
"F4A18",198,198.666666666667,1.14676012416361,199.146858548285,6.21500638465608,"Flamenco"
"H1A17",175,175.166666666667,0.543423267390023,175.522134870735,5.84232486819946,"Huasco"
"H1F18",140,140.090909090909,0.358764518571219,140.787897999436,5.11244704620228,"Huasco"
"H1A18",149,149,0.124579830743937,149.248977872739,4.74163129783756,"Huasco"
"H2A17",137,137.857142857143,1.39495408357835,138.294082222587,5.42231738915175,"Huasco"
"H2F18",159,159.75,1.4231525273832,159.851956063121,5.16526264287906,"Huasco"
"H2A18",140,140.5,1.02701739476114,140.98182197646,4.84925455133872,"Huasco"
"H3A17",143,144,1.58058972819922,144.182811881188,5.79217159915286,"Huasco"
"H3F18",172,172,0,172,5.38894216654981,"Huasco"
"H3A18",139,142,3.18303046716052,142.673595601931,4.89833977739748,"Huasco"
"H4A17",144,144,0.0996521728591783,144.210093664741,5.35910194630107,"Huasco"
"H4F18",157,159,2.88481409124059,158.15457450283,5.14586919349471,"Huasco"
"H4A18",201,208.2,6.44034939177871,204.248858134734,6.31604130093332,"Huasco"
"P1F18",129,130,1.81664902367344,129.804435981251,4.41175886998848,"Pta_Choros"
"P1A18",212,217.5,4.51048077056196,216.759889114168,6.6932641230034,"Pta_Choros"
"P2F18",170,172,2.58559291027695,171.951228563657,5.29933145666352,"Pta_Choros"
"P3F18",145,148.75,4.20848248688728,147.60572752413,4.94061202493319,"Pta_Choros"
"P4F18",138,138,0.498185111978571,138.150943396226,4.42105786898145,"Pta_Choros"
"Q1A17",106,107,1.81633295971877,107.299842666798,3.67056652765298,"Quintero"
"Q1F18",30,30.2,0.620074765840207,30.7586206896552,2.50797304478442,"Quintero"
"Q2A17",159,159,0.0996850385877389,159.192843967014,5.03387393449653,"Quintero"
"Q2F18",88,91,4.63977074083112,89.4100536210184,3.27112202348947,"Quintero"
"Q3A17",142,142,0.1245590815185,142.216341445232,4.4433312159668,"Quintero"
"Q3F18",123,123,0.0995926663313714,123.203887446432,4.36870747688501,"Quintero"
"Q3A18",216,217,2.34127461445182,216.351121967054,6.02338850531378,"Quintero"
"Q4A17",153,154.428571428571,1.93461991957672,155.050079338047,5.26624506224882,"Quintero"
"Q4F18",67,67,0,67,3.41200689401064,"Quintero"
"Q4A18",166,167,1.81697473994242,167.17188470349,4.39961672072219,"Quintero"
"L1A17",68,68,0.496309912667241,68.1624063800835,3.46802346482684,"Las_Cruces"
"L1F18",80,80.3333333333333,0.924967999950447,80.6538807666044,4.01376757517895,"Las_Cruces"
"L1A18",101,101.5,1.29690328401112,101.990397805213,2.55521765081674,"Las_Cruces"
"L2A17",78,78,0,78,3.07387669705828,"Las_Cruces"
"L2F18",163,163,0.0830773163432567,163.279639874677,5.05880474328664,"Las_Cruces"
"L2A18",111,111,0,111,3.79425834602711,"Las_Cruces"
"L3A17",88,88,0.497150973959713,88.2037852492802,3.9049901681058,"Las_Cruces"
"L3F18",89,92.3333333333333,4.12450253340977,91.1873760251058,4.38909101200231,"Las_Cruces"
"L3A18",134,135.5,2.5948785778815,136.375231910946,3.04461725291625,"Las_Cruces"
"L4A17",64,64,0.248039185412305,64.1814181278285,3.73327313212572,"Las_Cruces"
"L4F18",130,130.75,1.42299817881879,130.883136681992,4.92413085580998,"Las_Cruces"
"L4A18",126,126,0.249005960277999,126.15,4.75704045829995,"Las_Cruces"
