"","Simpson","Site"
"C1A17",0.917861913190408,"Chanaral"
"C1F18",0.945781504604551,"Chanaral"
"C1A18",0.936549319557701,"Chanaral"
"C2A17",0.920926668590592,"Chanaral"
"C2F18",0.971039378692977,"Chanaral"
"C2A18",0.954973708803547,"Chanaral"
"C3A17",0.896165305300919,"Chanaral"
"C3F18",0.944986380615788,"Chanaral"
"C3A18",0.986691677560268,"Chanaral"
"C4A17",0.941306917754934,"Chanaral"
"C4F18",0.961684823048772,"Chanaral"
"C4A18",0.981797626397828,"Chanaral"
"F1A17",0.969717720075014,"Flamenco"
"F1F18",0.844220099788003,"Flamenco"
"F1A18",0.954750884434633,"Flamenco"
"F2A17",0.974114145614023,"Flamenco"
"F2F18",0.904291092777813,"Flamenco"
"F2A18",0.892859494482207,"Flamenco"
"F3A17",0.963981058132707,"Flamenco"
"F3F18",0.971313007443944,"Flamenco"
"F3A18",0.959497438452223,"Flamenco"
"F4A17",0.963763758267014,"Flamenco"
"F4F18",0.967225858225954,"Flamenco"
"F4A18",0.94148316217626,"Flamenco"
"H1A17",0.877806747572668,"Huasco"
"H1F18",0.842578157224736,"Huasco"
"H1A18",0.86444435332551,"Huasco"
"H2A17",0.84537529258213,"Huasco"
"H2F18",0.860591038239761,"Huasco"
"H2A18",0.867246384505936,"Huasco"
"H3A17",0.846335755855057,"Huasco"
"H3F18",0.867597659281142,"Huasco"
"H3A18",0.856090919257732,"Huasco"
"H4A17",0.863874611455432,"Huasco"
"H4F18",0.85883340734084,"Huasco"
"H4A18",0.916070447112295,"Huasco"
"P1F18",0.926347850237972,"Pta_Choros"
"P1A18",0.953967027077788,"Pta_Choros"
"P2F18",0.939842188211363,"Pta_Choros"
"P3F18",0.939836987562181,"Pta_Choros"
"P4F18",0.929066025354152,"Pta_Choros"
"Q1A17",0.983121536671073,"Quintero"
"Q1F18",0.929193434951588,"Quintero"
"Q2A17",0.973473575844079,"Quintero"
"Q2F18",0.933163753105852,"Quintero"
"Q3A17",0.977099476336557,"Quintero"
"Q3F18",0.9470598010046,"Quintero"
"Q3A18",0.956113087586743,"Quintero"
"Q4A17",0.976573339364228,"Quintero"
"Q4F18",0.96793056750165,"Quintero"
"Q4A18",0.919390191728423,"Quintero"
"L1A17",0.873374523424853,"Las_Cruces"
"L1F18",0.955580791280772,"Las_Cruces"
"L1A18",0.940124829979681,"Las_Cruces"
"L2A17",0.917009480604406,"Las_Cruces"
"L2F18",0.937550497775004,"Las_Cruces"
"L2A18",0.903007647204819,"Las_Cruces"
"L3A17",0.904020510776358,"Las_Cruces"
"L3F18",0.890841282500365,"Las_Cruces"
"L3A18",0.928832624918303,"Las_Cruces"
"L4A17",0.863692570892337,"Las_Cruces"
"L4F18",0.887476686277695,"Las_Cruces"
"L4A18",0.887347316914645,"Las_Cruces"
