"","Unbiased","Site"
"C1A17",0.917927927424481,"Chanaral"
"C1F18",0.945823670521352,"Chanaral"
"C1A18",0.936589089795373,"Chanaral"
"C2A17",0.922381529046476,"Chanaral"
"C2F18",0.971092221498828,"Chanaral"
"C2A18",0.955018478093269,"Chanaral"
"C3A17",0.896266464044259,"Chanaral"
"C3F18",0.945010318866246,"Chanaral"
"C3A18",0.986739251894188,"Chanaral"
"C4A17",0.942090687045461,"Chanaral"
"C4F18",0.961718772454384,"Chanaral"
"C4A18",0.981842617582094,"Chanaral"
"F1A17",0.969786872019684,"Flamenco"
"F1F18",0.844250503507916,"Flamenco"
"F1A18",0.954793543426103,"Flamenco"
"F2A17",0.974209171869111,"Flamenco"
"F2F18",0.90433545121522,"Flamenco"
"F2A18",0.892889627097078,"Flamenco"
"F3A17",0.964214750510336,"Flamenco"
"F3F18",0.971382555848704,"Flamenco"
"F3A18",0.959547259182171,"Flamenco"
"F4A17",0.964158258372636,"Flamenco"
"F4F18",0.967294758771374,"Flamenco"
"F4A18",0.941525269746302,"Flamenco"
"H1A17",0.877833456229696,"Huasco"
"H1F18",0.84259664414006,"Huasco"
"H1A18",0.864467753367341,"Huasco"
"H2A17",0.845404230906847,"Huasco"
"H2F18",0.860612397095724,"Huasco"
"H2A18",0.867271363520108,"Huasco"
"H3A17",0.846365871351009,"Huasco"
"H3F18",0.867613326958779,"Huasco"
"H3A18",0.856117987615065,"Huasco"
"H4A17",0.863906983284151,"Huasco"
"H4F18",0.858851144136247,"Huasco"
"H4A18",0.916092109768209,"Huasco"
"P1F18",0.926377530410424,"Pta_Choros"
"P1A18",0.954011692637841,"Pta_Choros"
"P2F18",0.939872458830834,"Pta_Choros"
"P3F18",0.939862292812243,"Pta_Choros"
"P4F18",0.929095764983608,"Pta_Choros"
"Q1A17",0.983364522715793,"Quintero"
"Q1F18",0.929927395010758,"Quintero"
"Q2A17",0.973574474846315,"Quintero"
"Q2F18",0.933289043620283,"Quintero"
"Q3A17",0.977216117075922,"Quintero"
"Q3F18",0.947140182926472,"Quintero"
"Q3A18",0.956150239834181,"Quintero"
"Q4A17",0.976712214981467,"Quintero"
"Q4F18",0.968224324881771,"Quintero"
"Q4A18",0.919417358863886,"Quintero"
"L1A17",0.87341982763305,"Las_Cruces"
"L1F18",0.955796012179995,"Las_Cruces"
"L1A18",0.940154000131865,"Las_Cruces"
"L2A17",0.917055273836545,"Las_Cruces"
"L2F18",0.937583860185657,"Las_Cruces"
"L2A18",0.903041332721416,"Las_Cruces"
"L3A17",0.904062025310501,"Las_Cruces"
"L3F18",0.890942988320715,"Las_Cruces"
"L3A18",0.928857730537684,"Las_Cruces"
"L4A17",0.863734985692363,"Las_Cruces"
"L4F18",0.887518426315869,"Las_Cruces"
"L4A18",0.887376210383275,"Las_Cruces"
