"","S.obs","S.chao1","se.chao1","S.ACE","se.ACE"
"C1A17",220,220,0.0997724684196269,220.195222845154,5.64400646226148
"C1F18",781,793.214285714286,7.43530246280976,786.057289603196,11.8030193167111
"C1A18",569,580.5,6.42600744852985,576.803587591687,11.2465118367071
"C2A17",87,87.3333333333333,0.925074530818735,87.4890889803753,4.01727482429051
"C2F18",675,677.368421052632,2.2688968699416,677.575685206133,10.5999315014482
"C2A18",529,538.1,6.48560582101922,533.154841430298,9.83950088841721
"C3A17",176,177.5,2.59563555678797,176.617681911891,5.45200273615735
"C3F18",396,409,9.63690864073948,400.794656160821,7.83400319167569
"C3A18",754,770.24,8.00337184718649,765.2154150733,11.9860164502375
"C4A17",115,115.333333333333,0.925371274680445,115.505782708211,4.39244490589052
"C4F18",446,450.583333333333,3.8220856181528,449.865363018272,8.2482912680244
"C4A18",728,733.896551724138,3.84524785324571,734.156075014653,12.1871170037391
"F1A17",480,487,5.05712780466811,484.866440500775,8.85083208488987
"F1F18",455,470,10.3388240679967,459.913132257499,8.87970147143669
"F1A18",452,458.066666666667,4.43791216505638,456.401951147848,9.74634641899957
"F2A17",456,460.333333333333,3.40398154404705,461.135245445033,8.79632899338601
"F2F18",603,608.666666666667,3.87084809549406,608.738540631513,10.7458158444684
"F2A18",587,592.666666666667,3.87084609928135,591.746399248507,11.4356612717271
"F3A17",239,242,3.41965635507091,240.75700941876,6.37180499585846
"F3F18",943,985,18.7985040986026,958.305898088349,11.6818619808951
"F3A18",372,374.8,2.82919887518478,374.04956118482,8.71629291125586
"F4A17",174,174,0.249280574048001,174.149847094801,5.91355870562519
"F4F18",956,966.541666666667,5.93236799812678,964.514211940526,12.0712398135448
"F4A18",629,634,3.30256815942569,636.189700320896,11.718982436059
"H1A17",517,518,1.30992280271053,518.799597532657,10.1871793426033
"H1F18",491,491.47619047619,0.846182738032116,492.24382479128,9.75672056158028
"H1A18",809,820.55,6.58094366156152,815.568973386966,12.3870059433766
"H2A17",422,425.666666666667,3.14520786767942,425.180767095198,9.38299625261778
"H2F18",576,581.2,3.98863634177672,579.770571681597,10.5380086016204
"H2A18",766,774.25,4.85434647596996,773.408531904928,12.1397937434116
"H3A17",529,530.714285714286,1.82260481494313,531.399194771479,10.5563511420714
"H3F18",477,478.875,2.25714056858155,478.176799767026,9.12789271282338
"H3A18",675,691.916666666667,8.32080480853478,684.907325064134,11.8874514387783
"H4A17",517,521.5,4.10762377858827,519.301586060511,9.18475544568097
"H4F18",440,443.055555555556,2.69962498828827,443.322901263188,9.22677318062265
"H4A18",683,710,13.8182282041714,691.144818713156,11.9843369133618
"P1F18",393,400,6.65534324809773,394.941823282493,8.05770243075948
"P1A18",871,880.857142857143,5.48709825027387,878.995071074645,12.6603332060574
"P2F18",528,535.5,5.08033177199814,533.646840651382,9.96740582859263
"P3F18",440,450,6.6579526382615,445.32637008371,9.04406167996481
"P4F18",469,471.625,2.82816423880363,470.575150787525,8.6513743703774
"Q1A17",490,495.571428571429,4.24173059183511,494.259812911208,9.28669528449372
"Q1F18",129,129.428571428571,0.912758812330264,129.963823401309,4.85482913502751
"Q2A17",630,635.5,4.51088638600126,632.793417534032,9.91099262437396
"Q2F18",294,299,6.04280301080755,295.393698371966,5.8351820891013
"Q3A17",586,589,2.8639940292641,588.267790798611,9.6418527248391
"Q3F18",361,363.1,2.33528078099422,362.734188836724,7.57997980089242
"Q3A18",600,613,9.26023699552574,604.801528766407,8.77786006245021
"Q4A17",603,608.2,3.98864216718265,607.000156037322,10.147551124241
"Q4F18",228,228.428571428571,0.912898035282801,228.773713813111,6.0570145755921
"Q4A18",500,507,5.05713709279453,506.921347459823,7.86783997539337
"L1A17",433,433.461538461538,0.87551247697318,434.019901016383,8.40585851807929
"L1F18",395,396.111111111111,1.57563870193592,396.443264660697,8.07788949509238
"L1A18",343,344.666666666667,2.20535030072276,344.575020824656,5.84297473401946
"L2A17",454,455.615384615385,1.88423257792461,456.262882667997,8.09395311428251
"L2F18",710,711.909090909091,2.15735371773836,711.513760164907,9.84174243354272
"L2A18",362,363,1.44988362789407,363.888154390268,6.57230824771708
"L3A17",395,401,5.39025628731072,397.306692463078,8.58655423060771
"L3F18",458,460.625,2.82815899137725,459.885678617532,8.57895180857438
"L3A18",362,362.909090909091,1.34681270067333,364.390117758738,5.90688484031372
"L4A17",331,332.875,2.25706522653317,332.520712577559,7.7957704291582
"L4F18",625,628.666666666667,3.14525290409971,628.493514430984,9.70442858302969
"L4A18",418,422.5,4.10755455689511,420.467672015319,8.44977843225345
