"","Shannon","Site"
"C1A17",3.90609000750186,"Chanaral"
"C1F18",5.34154566637639,"Chanaral"
"C1A18",4.75633012083204,"Chanaral"
"C2A17",2.10378217949124,"Chanaral"
"C2F18",5.21599543633801,"Chanaral"
"C2A18",4.62005484548628,"Chanaral"
"C3A17",2.77583918432271,"Chanaral"
"C3F18",4.57164627853743,"Chanaral"
"C3A18",5.63477956649253,"Chanaral"
"C4A17",2.74136258996439,"Chanaral"
"C4F18",4.91822221642256,"Chanaral"
"C4A18",5.475658934664,"Chanaral"
"F1A17",5.10492626435529,"Flamenco"
"F1F18",4.17475834168413,"Flamenco"
"F1A18",4.1071488152148,"Flamenco"
"F2A17",4.33894762867072,"Flamenco"
"F2F18",4.76614227945888,"Flamenco"
"F2A18",4.24854905351719,"Flamenco"
"F3A17",3.37271743319264,"Flamenco"
"F3F18",6.03355856124338,"Flamenco"
"F3A18",3.88972400987734,"Flamenco"
"F4A17",3.02514569748299,"Flamenco"
"F4F18",6.00967619356949,"Flamenco"
"F4A18",4.4847391765568,"Flamenco"
"H1A17",4.2732659370323,"Huasco"
"H1F18",3.81391236598221,"Huasco"
"H1A18",4.69655513562949,"Huasco"
"H2A17",3.84838940613341,"Huasco"
"H2F18",4.27078652025588,"Huasco"
"H2A18",4.74443076104467,"Huasco"
"H3A17",4.11539746593751,"Huasco"
"H3F18",3.83462878638446,"Huasco"
"H3A18",4.47615462612612,"Huasco"
"H4A17",4.41529111600596,"Huasco"
"H4F18",3.76898704894804,"Huasco"
"H4A18",4.59407650934859,"Huasco"
"P1F18",4.44652668422495,"Pta_Choros"
"P1A18",5.3825337390659,"Pta_Choros"
"P2F18",4.87157159760293,"Pta_Choros"
"P3F18",4.58361374173798,"Pta_Choros"
"P4F18",4.74984740233488,"Pta_Choros"
"Q1A17",4.2692836487794,"Quintero"
"Q1F18",3.01354827178191,"Quintero"
"Q2A17",5.60532770826676,"Quintero"
"Q2F18",3.01211419913693,"Quintero"
"Q3A17",5.55449765057538,"Quintero"
"Q3F18",3.27090712664597,"Quintero"
"Q3A18",5.36412525002937,"Quintero"
"Q4A17",5.41688974077893,"Quintero"
"Q4F18",2.73839876803806,"Quintero"
"Q4A18",4.81159689153777,"Quintero"
"L1A17",4.10714524180458,"Las_Cruces"
"L1F18",4.41521098532817,"Las_Cruces"
"L1A18",4.61951789842023,"Las_Cruces"
"L2A17",4.75639375467651,"Las_Cruces"
"L2F18",5.05825594760792,"Las_Cruces"
"L2A18",4.65405062279762,"Las_Cruces"
"L3A17",4.57640726439628,"Las_Cruces"
"L3F18",4.56852392002792,"Las_Cruces"
"L3A18",4.65946497906004,"Las_Cruces"
"L4A17",4.03724935890866,"Las_Cruces"
"L4F18",4.93783974999262,"Las_Cruces"
"L4A18",4.33642981204212,"Las_Cruces"
