"","Simpson","Site"
"C1A17",0.959979383772817,"Chanaral"
"C1F18",0.985743692623197,"Chanaral"
"C1A18",0.975789651496283,"Chanaral"
"C2A17",0.816392155668346,"Chanaral"
"C2F18",0.984350048372237,"Chanaral"
"C2A18",0.974113216447378,"Chanaral"
"C3A17",0.871425226455556,"Chanaral"
"C3F18",0.977177797740109,"Chanaral"
"C3A18",0.99201535934443,"Chanaral"
"C4A17",0.884677702362631,"Chanaral"
"C4F18",0.984999032143687,"Chanaral"
"C4A18",0.990850597981677,"Chanaral"
"F1A17",0.987840223139996,"Flamenco"
"F1F18",0.950902588233429,"Flamenco"
"F1A18",0.949296475838898,"Flamenco"
"F2A17",0.958668651131376,"Flamenco"
"F2F18",0.976681833002691,"Flamenco"
"F2A18",0.954113212696183,"Flamenco"
"F3A17",0.92355511788283,"Flamenco"
"F3F18",0.995129852358653,"Flamenco"
"F3A18",0.946366811512931,"Flamenco"
"F4A17",0.908239097710033,"Flamenco"
"F4F18",0.994644516301911,"Flamenco"
"F4A18",0.96244767620132,"Flamenco"
"H1A17",0.956583088370299,"Huasco"
"H1F18",0.919432643468404,"Huasco"
"H1A18",0.954095394038434,"Huasco"
"H2A17",0.941607920194434,"Huasco"
"H2F18",0.939179171479955,"Huasco"
"H2A18",0.95528669712377,"Huasco"
"H3A17",0.95018103232814,"Huasco"
"H3F18",0.924253902604676,"Huasco"
"H3A18",0.952370926299308,"Huasco"
"H4A17",0.958744146193393,"Huasco"
"H4F18",0.91975165447155,"Huasco"
"H4A18",0.958818213571793,"Huasco"
"P1F18",0.970947763750555,"Pta_Choros"
"P1A18",0.984980573374948,"Pta_Choros"
"P2F18",0.977002018783055,"Pta_Choros"
"P3F18",0.974009439744688,"Pta_Choros"
"P4F18",0.976966771766107,"Pta_Choros"
"Q1A17",0.953673912653529,"Quintero"
"Q1F18",0.912858055980099,"Quintero"
"Q2A17",0.993377687108035,"Quintero"
"Q2F18",0.872474808733412,"Quintero"
"Q3A17",0.99339006552244,"Quintero"
"Q3F18",0.898143846004189,"Quintero"
"Q3A18",0.988686513526254,"Quintero"
"Q4A17",0.991549236014458,"Quintero"
"Q4F18",0.851387202728188,"Quintero"
"Q4A18",0.970090158643782,"Quintero"
"L1A17",0.955865904969608,"Las_Cruces"
"L1F18",0.97402089925235,"Las_Cruces"
"L1A18",0.976679894519979,"Las_Cruces"
"L2A17",0.980117815407512,"Las_Cruces"
"L2F18",0.981292038046499,"Las_Cruces"
"L2A18",0.971402807012466,"Las_Cruces"
"L3A17",0.975256083143942,"Las_Cruces"
"L3F18",0.97096104445741,"Las_Cruces"
"L3A18",0.972806595271645,"Las_Cruces"
"L4A17",0.964145444448519,"Las_Cruces"
"L4F18",0.976691573668333,"Las_Cruces"
"L4A18",0.962815109427026,"Las_Cruces"
