"betweenness","colMeans..t..","degree","eigen","id","membership","name","Node_Category","selected","shared name"
"3742.267","0.07128578","23.0","1.357356E-6","ASV0001","1.0","ASV0001","Core","false","ASV0001"
"4316.812","0.0724361","13.0","4.770775E-8","ASV0002","1.0","ASV0002","Shared","false","ASV0002"
"1530.549","0.05442225","23.0","5.397625E-7","ASV0003","1.0","ASV0003","Core","false","ASV0003"
"4316.812","0.05631877","13.0","4.770775E-8","ASV0004","1.0","ASV0004","Shared","false","ASV0004"
"4601.631","0.05313776","14.0","5.034244E-8","ASV0005","1.0","ASV0005","Shared","false","ASV0005"
"1530.549","0.0505665","23.0","5.397625E-7","ASV0006","1.0","ASV0006","Core","false","ASV0006"
"478.5149","0.03429062","11.0","3.674986E-8","ASV0007","1.0","ASV0007","Shared","false","ASV0007"
"751.9233","0.03292438","21.0","5.389604E-7","ASV0008","1.0","ASV0008","Core","false","ASV0008"
"0.0","0.02653208","2.0","6.485577E-18","ASV0009","35.0","ASV0009","Shared","false","ASV0009"
"0.0","0.02055724","2.0","1.297115E-17","ASV0010","35.0","ASV0010","Shared","false","ASV0010"
"0.0","0.01930558","2.0","6.485577E-18","ASV0011","35.0","ASV0011","Shared","false","ASV0011"
"0.0","0.01317649","5.0","1.729487E-17","ASV0012","6.0","ASV0012","Shared","false","ASV0012"
"20281.04","0.01004868","34.0","2.583157E-6","ASV0013","1.0","ASV0013","Core","false","ASV0013"
"0.0","0.009894793","5.0","2.161859E-17","ASV0014","6.0","ASV0014","Shared","false","ASV0014"
"0.0","0.009480879","5.0","2.161859E-17","ASV0015","6.0","ASV0015","Shared","false","ASV0015"
"2323.134","0.007634285","33.0","2.315046E-7","ASV0016","1.0","ASV0016","Core","false","ASV0016"
"2194.018","0.007270715","32.0","1.854914E-7","ASV0017","1.0","ASV0017","Core","false","ASV0017"
"8.0","0.007153502","8.0","1.729487E-17","ASV0019","6.0","ASV0019","Shared","false","ASV0019"
"8.667358","0.005101335","15.0","6.507042E-8","ASV0021","1.0","ASV0021","Core","false","ASV0021"
"0.0","0.00571711","3.0","1.402722E-9","ASV0022","1.0","ASV0022","Shared","false","ASV0022"
"12203.86","0.004464091","49.0","2.398185E-7","ASV0023","1.0","ASV0023","Core","false","ASV0023"
"8.0","0.00543731","8.0","2.594231E-17","ASV0024","6.0","ASV0024","Shared","false","ASV0024"
"0.0","0.004385501","2.0","1.729487E-17","ASV0025","36.0","ASV0025","Core","false","ASV0025"
"8.0","0.005090243","8.0","2.594231E-17","ASV0026","6.0","ASV0026","Shared","false","ASV0026"
"3911.763","0.005292172","15.0","2.224888E-5","ASV0028","1.0","ASV0028","Other","false","ASV0028"
"19.62305","0.003881508","18.0","9.65778E-8","ASV0029","1.0","ASV0029","Core","false","ASV0029"
"2773.755","0.004572055","20.0","3.412119E-6","ASV0030","1.0","ASV0030","Core","false","ASV0030"
"0.0","0.003761279","3.0","7.967609E-12","ASV0031","21.0","ASV0031","Other","false","ASV0031"
"0.0","0.00403897","2.0","2.40175E-10","ASV0032","1.0","ASV0032","Core","false","ASV0032"
"5.868801","0.003606092","12.0","3.566434E-8","ASV0034","1.0","ASV0034","Core","false","ASV0034"
"28519.7","0.00340243","49.0","1.054526E-6","ASV0035","1.0","ASV0035","Core","false","ASV0035"
"1234.814","0.003358708","23.0","5.043934E-7","ASV0036","1.0","ASV0036","Core","false","ASV0036"
"0.0","0.003251617","2.0","1.297115E-17","ASV0037","36.0","ASV0037","Core","false","ASV0037"
"7523.682","0.003095549","49.0","2.378448E-7","ASV0038","1.0","ASV0038","Core","false","ASV0038"
"0.0","0.003006199","2.0","8.647436E-18","ASV0039","36.0","ASV0039","Core","false","ASV0039"
"632.0","0.003125646","3.0","1.131472E-8","ASV0040","1.0","ASV0040","Core","false","ASV0040"
"3109.588","0.003526524","17.0","4.381411E-6","ASV0041","1.0","ASV0041","Other","false","ASV0041"
"0.0","0.002832368","3.0","7.967605E-12","ASV0042","21.0","ASV0042","Core","false","ASV0042"
"632.0","0.002958352","3.0","1.131472E-8","ASV0043","1.0","ASV0043","Core","false","ASV0043"
"0.0","0.002961425","3.0","3.568951E-11","ASV0044","1.0","ASV0044","Shared","false","ASV0044"
"8.919815","0.003306396","8.0","3.083753E-6","ASV0045","1.0","ASV0045","Core","false","ASV0045"
"3789.0","0.00268572","4.0","7.347768E-10","ASV0046","21.0","ASV0046","Other","false","ASV0046"
"67.55236","0.002729181","23.0","2.557804E-9","ASV0048","1.0","ASV0048","Core","false","ASV0048"
"0.0","0.002747289","3.0","1.729487E-17","ASV0049","14.0","ASV0049","Shared","false","ASV0049"
"668.1645","0.002569198","19.0","4.60179E-7","ASV0050","1.0","ASV0050","Core","false","ASV0050"
"3.881535","0.002959926","4.0","4.205861E-7","ASV0051","1.0","ASV0051","Other","false","ASV0051"
"668.1645","0.002375288","19.0","4.60179E-7","ASV0053","1.0","ASV0053","Core","false","ASV0053"
"1593.014","0.0026519","22.0","4.975806E-9","ASV0056","1.0","ASV0056","Core","false","ASV0056"
"0.0","0.002560324","5.0","1.729487E-17","ASV0057","6.0","ASV0057","Shared","false","ASV0057"
"6305.0","0.002559194","6.0","3.570173E-11","ASV0058","1.0","ASV0058","Shared","false","ASV0058"
"4438.896","0.002245587","8.0","1.56718E-9","ASV0059","1.0","ASV0059","Shared","false","ASV0059"
"1.0","0.002096998","5.0","4.323718E-18","ASV0060","14.0","ASV0060","Other","false","ASV0060"
"933.061","0.002174172","9.0","3.397344E-8","ASV0061","1.0","ASV0061","Shared","false","ASV0061"
"1184.916","0.002037726","15.0","5.331276E-8","ASV0062","1.0","ASV0062","Shared","false","ASV0062"
"0.0","0.002208888","4.0","2.881159E-9","ASV0063","1.0","ASV0063","Core","false","ASV0063"
"52.03676","0.001967246","21.0","2.469335E-9","ASV0064","1.0","ASV0064","Core","false","ASV0064"
"148.2261","0.002275076","6.0","8.054915E-7","ASV0065","1.0","ASV0065","Other","false","ASV0065"
"0.0","0.002308192","3.0","1.729487E-17","ASV0066","14.0","ASV0066","Shared","false","ASV0066"
"10700.88","0.002067982","10.0","1.759805E-9","ASV0067","1.0","ASV0067","Shared","false","ASV0067"
"102.6743","0.00283811","13.0","4.757656E-7","ASV0068","1.0","ASV0068","Shared","false","ASV0068"
"0.0","0.001947719","3.0","8.647436E-18","ASV0070","14.0","ASV0070","Other","false","ASV0070"
"0.0","0.0022584","1.0","4.323718E-18","ASV0071","53.0","ASV0071","Core","false","ASV0071"
"2391.0","0.00201076","37.0","8.015816E-9","ASV0072","1.0","ASV0072","Core","false","ASV0072"
"115.7904","0.001840319","26.0","2.755867E-9","ASV0073","1.0","ASV0073","Core","false","ASV0073"
"90.54371","0.002122533","5.0","6.981916E-7","ASV0074","1.0","ASV0074","Other","false","ASV0074"
"0.0","0.001782857","3.0","7.967605E-12","ASV0075","21.0","ASV0075","Other","false","ASV0075"
"0.0","0.001922145","3.0","1.47773E-9","ASV0077","17.0","ASV0077","Core","false","ASV0077"
"5706.349","0.002101079","22.0","4.089503E-6","ASV0079","1.0","ASV0079","Other","false","ASV0079"
"3722.656","0.001790124","19.0","7.091254E-8","ASV0080","1.0","ASV0080","Shared","false","ASV0080"
"0.0","0.002130158","1.0","1.080929E-18","ASV0081","53.0","ASV0081","Core","false","ASV0081"
"1675.146","0.001608856","12.0","2.948859E-8","ASV0082","1.0","ASV0082","Shared","false","ASV0082"
"1106.778","0.001887626","32.0","5.545814E-9","ASV0083","1.0","ASV0083","Core","false","ASV0083"
"17.5","0.001906182","6.0","4.323718E-17","ASV0084","6.0","ASV0084","Shared","false","ASV0084"
"436.2946","0.001729489","26.0","2.897894E-9","ASV0085","1.0","ASV0085","Core","false","ASV0085"
"0.0","0.001572619","1.0","5.404647E-18","ASV0086","49.0","ASV0086","Core","false","ASV0086"
"518.7307","0.00181276","5.0","2.740624E-8","ASV0087","1.0","ASV0087","Shared","false","ASV0087"
"17.5","0.001807048","6.0","5.188462E-17","ASV0088","6.0","ASV0088","Other","false","ASV0088"
"1.0","0.001855225","5.0","1.297115E-17","ASV0089","14.0","ASV0089","Shared","false","ASV0089"
"420.6667","0.001823099","4.0","3.872754E-13","ASV0090","22.0","ASV0090","Shared","false","ASV0090"
"420.6667","0.001806847","4.0","3.872841E-13","ASV0091","22.0","ASV0091","Shared","false","ASV0091"
"5.0","0.001967685","2.0","1.080929E-17","ASV0093","10.0","ASV0093","Other","false","ASV0093"
"5859.769","0.001859836","10.0","1.28357E-5","ASV0096","1.0","ASV0096","Other","false","ASV0096"
"223.3229","0.001616776","11.0","5.082286E-8","ASV0097","1.0","ASV0097","Core","false","ASV0097"
"11.0","0.001846091","3.0","4.323718E-18","ASV0098","10.0","ASV0098","Other","false","ASV0098"
"1.0","0.001646849","5.0","1.297115E-17","ASV0100","14.0","ASV0100","Other","false","ASV0100"
"6460.364","0.001644088","17.0","1.832278E-8","ASV0101","1.0","ASV0101","Core","false","ASV0101"
"984.6378","0.001435113","26.0","2.729567E-9","ASV0102","1.0","ASV0102","Core","false","ASV0102"
"1950.898","0.001677999","17.0","1.644811E-6","ASV0103","1.0","ASV0103","Shared","false","ASV0103"
"6423.257","0.001433689","36.0","3.269768E-8","ASV0104","1.0","ASV0104","Core","false","ASV0104"
"330.4458","0.001251185","7.0","1.443509E-8","ASV0105","1.0","ASV0105","Shared","false","ASV0105"
"933.061","0.00147847","9.0","3.397344E-8","ASV0106","1.0","ASV0106","Shared","false","ASV0106"
"602.0672","0.001517224","10.0","1.591832E-7","ASV0107","1.0","ASV0107","Core","false","ASV0107"
"906.9255","0.001483834","8.0","3.564821E-8","ASV0108","1.0","ASV0108","Shared","false","ASV0108"
"1991.391","0.00133348","14.0","8.741344E-8","ASV0109","1.0","ASV0109","Shared","false","ASV0109"
"508.6959","0.002039032","18.0","2.214932E-6","ASV0110","1.0","ASV0110","Shared","false","ASV0110"
"0.0","0.001536338","2.0","8.647436E-18","ASV0112","24.0","ASV0112","Shared","false","ASV0112"
"0.6421644","0.001322193","2.0","9.417753E-10","ASV0113","1.0","ASV0113","Shared","false","ASV0113"
"2075.656","0.001164019","13.0","3.153958E-8","ASV0114","1.0","ASV0114","Shared","false","ASV0114"
"608.3941","0.001889956","17.0","2.187723E-6","ASV0117","1.0","ASV0117","Shared","false","ASV0117"
"89.30445","0.001273757","24.0","2.665576E-9","ASV0118","1.0","ASV0118","Core","false","ASV0118"
"460.5808","0.00132482","8.0","3.324663E-8","ASV0119","1.0","ASV0119","Shared","false","ASV0119"
"0.0","0.001300693","3.0","1.47773E-9","ASV0120","17.0","ASV0120","Core","false","ASV0120"
"15273.5","0.001201318","30.0","1.708621E-7","ASV0121","1.0","ASV0121","Shared","false","ASV0121"
"10156.19","0.001180986","19.0","1.158244E-7","ASV0122","1.0","ASV0122","Other","false","ASV0122"
"712.1516","0.001181123","8.0","1.669271E-8","ASV0123","1.0","ASV0123","Other","false","ASV0123"
"9288.846","0.001180906","8.0","5.676655E-7","ASV0125","1.0","ASV0125","Shared","false","ASV0125"
"3574.075","0.001452076","19.0","2.528851E-5","ASV0126","1.0","ASV0126","Other","false","ASV0126"
"0.0","0.001211971","3.0","1.47773E-9","ASV0127","17.0","ASV0127","Core","false","ASV0127"
"2917.154","9.888763E-4","13.0","6.999446E-7","ASV0128","1.0","ASV0128","Other","false","ASV0128"
"111.577","0.001132081","13.0","1.968236E-9","ASV0129","1.0","ASV0129","Shared","false","ASV0129"
"0.0","0.001367959","1.0","4.323718E-18","ASV0131","10.0","ASV0131","Other","false","ASV0131"
"0.0","0.001160373","4.0","1.364879E-9","ASV0132","1.0","ASV0132","Shared","false","ASV0132"
"1124.996","0.001204982","28.0","5.172893E-9","ASV0134","1.0","ASV0134","Core","false","ASV0134"
"1265.0","9.520929E-4","4.0","1.010443E-7","ASV0135","1.0","ASV0135","Core","false","ASV0135"
"1182.638","0.001123501","23.0","0.00448486","ASV0136","4.0","ASV0136","Other","false","ASV0136"
"0.0","0.001153501","2.0","2.857914E-10","ASV0137","28.0","ASV0137","Other","false","ASV0137"
"148.5833","9.438594E-4","2.0","3.191017E-8","ASV0139","1.0","ASV0139","Shared","false","ASV0139"
"7296.94","0.001020986","36.0","1.12404E-6","ASV0140","1.0","ASV0140","Other","false","ASV0140"
"0.0","0.001130923","1.0","4.323718E-18","ASV0141","29.0","ASV0141","Shared","false","ASV0141"
"5549.958","0.001041473","38.0","3.203145E-8","ASV0142","1.0","ASV0142","Core","false","ASV0142"
"5495.077","0.001002409","4.0","1.0698E-9","ASV0143","7.0","ASV0143","Core","false","ASV0143"
"419.5224","0.001201674","15.0","5.145292E-7","ASV0144","1.0","ASV0144","Shared","false","ASV0144"
