"";"Site";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1";"Chanaral";"ASV0001";"Core";0,00141263131469946;23;2182,27351319085;1
"2";"Chanaral";"ASV0002";"Shared";0,000103225415715781;14;5910,95917725568;1
"3";"Chanaral";"ASV0003";"Core";0,00090501265995933;23;1301,90648587727;1
"4";"Chanaral";"ASV0004";"Shared";0,000103225415715788;14;5910,95917725568;1
"5";"Chanaral";"ASV0005";"Shared";0,000122509263344764;15;6468,05638519199;1
"6";"Chanaral";"ASV0006";"Core";0,000905012659959331;23;1301,90648587727;1
"7";"Chanaral";"ASV0007";"Shared";9,0289861067068e-05;12;1742,72878243366;1
"8";"Chanaral";"ASV0008";"Core";0,000902004579568563;21;763,654622134162;1
"9";"Chanaral";"ASV0009";"Shared";0;2;0;34
"10";"Chanaral";"ASV0010";"Shared";0;2;0;34
"11";"Chanaral";"ASV0011";"Shared";0;2;0;34
"12";"Chanaral";"ASV0012";"Shared";0;5;0;13
"13";"Chanaral";"ASV0013";"Core";0,00209655727612736;33;23557,7471590912;1
"14";"Chanaral";"ASV0014";"Shared";0;5;0;13
"15";"Chanaral";"ASV0015";"Shared";0;5;0;13
"16";"Chanaral";"ASV0016";"Core";0,000868404490622574;32;4576,13701162451;1
"17";"Chanaral";"ASV0017";"Core";0,000664602223281762;31;3670,00876284892;1
"18";"Chanaral";"ASV0019";"Shared";0;10;47;13
"19";"Chanaral";"ASV0020";"Other";0,2319099742409;44;9370,63582287677;2
"20";"Chanaral";"ASV0021";"Core";0,00013213159353258;15;9,02318487645061;1
"21";"Chanaral";"ASV0022";"Shared";4,26226572320238e-06;4;21,6264056505274;1
"22";"Chanaral";"ASV0023";"Core";0,000913673975050981;48;22436,3893972821;1
"23";"Chanaral";"ASV0024";"Shared";0;8;8;13
"24";"Chanaral";"ASV0025";"Core";0;2;0;35
"25";"Chanaral";"ASV0026";"Shared";2,24903417145401e-18;8;8;13
"26";"Chanaral";"ASV0027";"Other";7,54368475886349e-06;2;19,6544674417861;1
"27";"Chanaral";"ASV0028";"Other";0,213946141560621;39;6541,95157019436;2
"28";"Chanaral";"ASV0029";"Core";0,000182270418688728;18;26,9330950886644;1
"29";"Chanaral";"ASV0030";"Core";0,014222434935957;25;13050,1097303071;1
"30";"Chanaral";"ASV0031";"Other";0;3;0;23
"31";"Chanaral";"ASV0032";"Core";5,62421621875966e-07;2;0;26
"32";"Chanaral";"ASV0033";"Other";0,122185995111549;25;1883,33795249759;2
"33";"Chanaral";"ASV0034";"Core";8,83804980729122e-05;12;6,03851743235127;1
"34";"Chanaral";"ASV0035";"Core";0,00141257334362372;48;35759,8223666012;1
"35";"Chanaral";"ASV0036";"Core";0,000709702642156395;23;1240,89587336777;1
"36";"Chanaral";"ASV0037";"Core";0;2;0;35
"37";"Chanaral";"ASV0038";"Core";0,000913786412936352;48;17705,1669052274;1
"38";"Chanaral";"ASV0039";"Core";0;2;0;35
"39";"Chanaral";"ASV0040";"Core";2,00757207648885e-05;3;949,5;26
"40";"Chanaral";"ASV0041";"Other";0,014753304815642;22;11381,6412578463;1
"41";"Chanaral";"ASV0042";"Core";0;3;0;23
"42";"Chanaral";"ASV0043";"Core";2,00757207648912e-05;3;949,5;26
"43";"Chanaral";"ASV0044";"Shared";1,45963383434943e-07;3;0;1
"44";"Chanaral";"ASV0045";"Core";0,0133426677007868;11;8,31049689787164;1
"45";"Chanaral";"ASV0046";"Other";0;3;0;23
"46";"Chanaral";"ASV0047";"Other";5,87380185547538e-06;5;4543,72176798707;1
"47";"Chanaral";"ASV0048";"Core";5,01281001764994e-05;24;40,7915708885311;1
"48";"Chanaral";"ASV0049";"Shared";0;1;0;11
"49";"Chanaral";"ASV0050";"Core";0,000450870091916777;19;523,437798970019;1
"50";"Chanaral";"ASV0051";"Other";0,0355193395728284;6;0,829517704517704;2
"51";"Chanaral";"ASV0053";"Core";0,000450870091916765;19;523,437798970019;1
"52";"Chanaral";"ASV0054";"Other";0,225054174948348;31;2872,3020213308;2
"53";"Chanaral";"ASV0056";"Core";4,28527726080692e-05;25;12069,3940611794;1
"54";"Chanaral";"ASV0057";"Shared";0;5;0;13
"55";"Chanaral";"ASV0058";"Shared";1,46050668646465e-07;6;9480;1
"56";"Chanaral";"ASV0059";"Shared";4,69426971046215e-06;8;4210,7142650331;1
"57";"Chanaral";"ASV0061";"Shared";5,31596584694694e-05;9;2710,68847440081;1
"58";"Chanaral";"ASV0062";"Shared";0,000104256845444216;14;3717,41306295127;1
"59";"Chanaral";"ASV0063";"Core";1,59337939295571e-05;4;0;1
"60";"Chanaral";"ASV0064";"Core";4,09823391140763e-05;21;26,5943832717359;1
"61";"Chanaral";"ASV0065";"Other";0,0856585329278449;12;41,6610662634234;2
"62";"Chanaral";"ASV0066";"Shared";0;1;0;11
"63";"Chanaral";"ASV0067";"Shared";5,58004759316989e-06;10;18994,4344105006;1
"64";"Chanaral";"ASV0068";"Shared";1,38522865501157e-05;13;5,119436274954;6
"65";"Chanaral";"ASV0069";"Other";0,000320823452802758;12;360,734951390476;7
"66";"Chanaral";"ASV0071";"Core";0;1;0;58
"67";"Chanaral";"ASV0072";"Core";8,33667415409416e-05;43;5781,52388901822;1
"68";"Chanaral";"ASV0073";"Core";6,88732680457754e-05;31;567,209822146511;1
"69";"Chanaral";"ASV0074";"Other";0,0736337100938504;10;22,8428050571201;2
"70";"Chanaral";"ASV0075";"Other";0;3;0;23
"71";"Chanaral";"ASV0076";"Other";8,24499230402405e-08;3;3209,21817913601;4
"72";"Chanaral";"ASV0077";"Core";0,000107089138982615;3;0;22
"73";"Chanaral";"ASV0079";"Other";0,0184353205248562;27;14413,1994642136;1
"74";"Chanaral";"ASV0080";"Shared";0,00074393742087005;18;2604,95782766079;1
"75";"Chanaral";"ASV0081";"Core";0;1;0;58
"76";"Chanaral";"ASV0082";"Shared";0,000542762355627484;12;2031,35385042475;1
"77";"Chanaral";"ASV0083";"Core";6,18270631459221e-05;36;3442,2760107135;1
"78";"Chanaral";"ASV0084";"Shared";0;6;25;13
"79";"Chanaral";"ASV0085";"Core";5,18336407789481e-05;27;388,112631901163;1
"80";"Chanaral";"ASV0086";"Core";0;1;0;48
"81";"Chanaral";"ASV0087";"Shared";2,28765838776961e-06;5;5,94444742258178;1
"82";"Chanaral";"ASV0088";"Other";0;6;25;13
"83";"Chanaral";"ASV0089";"Shared";0;3;9;11
"84";"Chanaral";"ASV0090";"Shared";2,10605887784846e-09;4;632,333333333326;24
"85";"Chanaral";"ASV0091";"Shared";2,10605888282451e-09;4;632,333333333326;24
"86";"Chanaral";"ASV0093";"Other";3,44884161192834e-05;8;1900;7
"87";"Chanaral";"ASV0094";"Shared";1,30917857200462e-09;2;0;4
"88";"Chanaral";"ASV0095";"Other";2,22842804427926e-08;1;0;4
"89";"Chanaral";"ASV0096";"Other";0,450103135734601;58;9233,34419270898;2
"90";"Chanaral";"ASV0097";"Core";0,000113104764843389;11;189,178306542917;1
"91";"Chanaral";"ASV0098";"Other";0,000390535412395;18;1476,26111064977;7
"92";"Chanaral";"ASV0099";"Unique";7,61441564497657e-05;7;1327,22869974597;4
"93";"Chanaral";"ASV0101";"Core";6,40414478500589e-05;17;15881,7275592917;1
"94";"Chanaral";"ASV0102";"Core";5,94714744787555e-05;28;530,212273917494;1
"95";"Chanaral";"ASV0103";"Shared";4,04468064559454e-05;17;1619,38123920303;6
"96";"Chanaral";"ASV0104";"Core";0,000164636842226355;36;5705,20702116773;1
"97";"Chanaral";"ASV0105";"Shared";0,000486439135241431;7;484,610351574566;1
"98";"Chanaral";"ASV0106";"Shared";5,31379474320123e-05;8;757,423707252239;1
"99";"Chanaral";"ASV0107";"Core";0,000721009374078288;10;1220,31641114516;1
"100";"Chanaral";"ASV0108";"Shared";5,30747439705339e-05;6;0;1
"101";"Chanaral";"ASV0109";"Shared";0,00116269305506113;13;460,319700257723;1
"102";"Chanaral";"ASV0110";"Shared";1,36420747918397e-05;15;74,3647561804837;6
"103";"Chanaral";"ASV0111";"Other";0,00036236127692668;18;1471,88747919987;7
"104";"Chanaral";"ASV0112";"Shared";4,43075870526376e-07;2;0;1
"105";"Chanaral";"ASV0113";"Shared";4,71184694708634e-08;1;0;1
"106";"Chanaral";"ASV0114";"Shared";0,000534283561341769;14;5102,29413194981;1
"107";"Chanaral";"ASV0117";"Shared";1,25051802274092e-05;13;74,7601197146845;6
"108";"Chanaral";"ASV0118";"Core";6,30384562969907e-05;29;733,509181617834;1
"109";"Chanaral";"ASV0119";"Shared";5,31596584694727e-05;9;2710,68847440081;1
"110";"Chanaral";"ASV0120";"Core";0,000107089138982613;3;0;22
"111";"Chanaral";"ASV0121";"Shared";0,000913085839626416;29;6669,59362985346;1
"112";"Chanaral";"ASV0122";"Other";0,000551190397920629;19;12310,9859020745;1
"113";"Chanaral";"ASV0124";"Other";0,000311800229863533;11;10,3073205099306;7
"114";"Chanaral";"ASV0125";"Shared";5,17589258214314e-05;25;6177,5084949771;1
"115";"Chanaral";"ASV0126";"Other";0,505352449804669;67;4802,05907753208;2
"116";"Chanaral";"ASV0127";"Core";0,000107089138982614;3;0;22
"117";"Chanaral";"ASV0129";"Shared";3,84592981934121e-05;17;790,027451015883;1
"118";"Chanaral";"ASV0130";"Shared";0;2;0;33
"119";"Chanaral";"ASV0131";"Other";0,000302870931876765;9;9,83509828770842;7
"120";"Chanaral";"ASV0132";"Shared";2,28765838776906e-06;5;5,94444742258178;1
"121";"Chanaral";"ASV0133";"Other";0,500458586703842;67;4875,35776075458;2
"122";"Chanaral";"ASV0134";"Core";4,49568637847956e-05;31;1438,89123537429;1
"123";"Chanaral";"ASV0135";"Core";0;1;0;42
"124";"Chanaral";"ASV0136";"Other";4,9194982953877e-06;14;1255,01849240135;8
"125";"Chanaral";"ASV0139";"Shared";1,84120314529295e-05;2;175,26545432568;2
"126";"Chanaral";"ASV0140";"Other";0,025935322663302;26;6146,61457600281;2
"127";"Chanaral";"ASV0141";"Shared";6,75211409393797e-07;2;0;4
"128";"Chanaral";"ASV0142";"Core";0,000162062295716395;38;4887,51960141673;1
"129";"Chanaral";"ASV0143";"Core";5,54767867471185e-06;5;6669,09126429691;1
"130";"Chanaral";"ASV0144";"Shared";9,60522356898732e-05;17;965,705677891845;6
"131";"Chanaral";"ASV0145";"Core";5,87828286341083e-05;31;4543,31431360103;1
"132";"Chanaral";"ASV0146";"Shared";3,07523928821559e-11;2;0;24
"133";"Chanaral";"ASV0147";"Core";0,000141341701971266;36;4308,2208646383;1
"134";"Chanaral";"ASV0148";"Other";5,0163397294569e-07;3;1234,19139819069;4
"135";"Chanaral";"ASV0150";"Shared";4,65644113391016e-06;3;172,564610473653;1
"136";"Chanaral";"ASV0152";"Shared";0,000582684286532064;17;5274,02469318212;1
"137";"Chanaral";"ASV0153";"Shared";3,00324072803929e-08;2;399,265685382168;6
"138";"Chanaral";"ASV0154";"Other";0,000419056494292617;18;11434,7980274129;1
"139";"Chanaral";"ASV0155";"Shared";0,000205572143742282;21;5029,45937282809;1
"140";"Chanaral";"ASV0157";"Shared";0,00384506357150664;2;0;2
"141";"Chanaral";"ASV0158";"Shared";2,94895216951205e-06;3;759,909726363648;1
"142";"Chanaral";"ASV0159";"Shared";3,91741098571355e-05;21;568,07863870902;1
"143";"Chanaral";"ASV0160";"Other";0;3;7;13
"144";"Chanaral";"ASV0161";"Other";0,000315499211650372;13;188,130313966971;7
"145";"Chanaral";"ASV0163";"Shared";9,44353393089156e-06;3;25,2348771035226;1
