"";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1";"ASV0001";"Core";1,14737009059252e-07;23;2345,72483774607;3
"2";"ASV0003";"Core";1,14872831458103e-07;24;2468,0689209132;3
"3";"ASV0006";"Core";1,148728314555e-07;24;2468,0689209132;3
"4";"ASV0008";"Core";8,843195675524e-08;22;1100,6995513052;3
"5";"ASV0013";"Core";5,16499637275329e-08;32;14631,8946141476;3
"6";"ASV0016";"Core";5,21546259325061e-08;33;15057,3448773768;3
"7";"ASV0017";"Core";5,19973919071024e-08;32;13803,0270912529;3
"8";"ASV0021";"Core";1,56219313282118e-08;15;10,0933260608601;3
"9";"ASV0023";"Core";1,89608731354659e-07;45;36936,4470949659;3
"10";"ASV0025";"Core";3,93904796178919e-18;2;0;39
"11";"ASV0029";"Core";1,7346978956581e-08;18;22,7829934651697;3
"12";"ASV0030";"Core";1,92397782151147e-08;21;5376,44865000737;3
"13";"ASV0032";"Core";3,51332767725799e-11;2;0;26
"14";"ASV0034";"Core";1,22671420860601e-08;12;6,66475281277335;3
"15";"ASV0035";"Core";1,38535727722275e-07;47;34520,5712963457;3
"16";"ASV0036";"Core";9,06603061247995e-08;24;1762,47697854447;3
"17";"ASV0037";"Core";2,82798209146194e-18;2;0;39
"18";"ASV0038";"Core";2,07950945860046e-07;45;29204,8870064232;3
"19";"ASV0039";"Core";3,14770570178178e-18;2;0;39
"20";"ASV0040";"Core";1,5690080491799e-09;3;1065,5;26
"21";"ASV0042";"Core";3,23904908601623e-09;3;0;22
"22";"ASV0043";"Core";1,56900804685393e-09;3;1065,5;26
"23";"ASV0045";"Core";6,33031445174531e-09;8;0,142857142857143;3
"24";"ASV0048";"Core";1,08037612333651e-07;19;20,9193846599935;3
"25";"ASV0050";"Core";8,75465677197603e-08;20;871,664403509733;3
"26";"ASV0053";"Core";8,75465676920503e-08;20;871,664403509733;3
"27";"ASV0056";"Core";5,7772044299155e-08;17;3801,97880315248;3
"28";"ASV0063";"Core";8,68321307659128e-09;4;0;3
"29";"ASV0064";"Core";1,06249334728002e-07;17;11,1070393015098;3
"30";"ASV0071";"Core";1,74754496144278e-18;1;0;65
"31";"ASV0072";"Core";2,11845650517448e-07;30;1601,34781915101;3
"32";"ASV0073";"Core";1,12543736527606e-07;22;115,940007000052;3
"33";"ASV0077";"Core";3,56435285720349e-18;3;0;19
"34";"ASV0081";"Core";1,72697098713763e-18;1;0;65
"35";"ASV0083";"Core";1,84406679788555e-07;29;1533,73218627046;3
"36";"ASV0085";"Core";1,10063758483412e-07;19;12,8130261688744;3
"37";"ASV0086";"Core";1,46377106559532e-18;1;0;57
"38";"ASV0097";"Core";2,11579257614488e-08;11;383,653161396705;3
"39";"ASV0101";"Core";3,50936518762192e-08;16;9337,78149058203;3
"40";"ASV0102";"Core";1,08822397791498e-07;19;1517,94303130556;3
"41";"ASV0104";"Core";4,34787420172561e-07;28;30618,7160489331;3
"42";"ASV0107";"Core";1,14508837519666e-08;10;1352,52243735341;3
"43";"ASV0118";"Core";1,11706838828502e-07;20;82,8206751891161;3
