"";"Site";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1";"Flamenco";"ASV0001";"Core";0,000380586716239279;24;3400,58033123522;3
"2";"Flamenco";"ASV0002";"Shared";2,0489741123805e-05;14;6164,16570727531;3
"3";"Flamenco";"ASV0003";"Core";0,000228213062296204;24;2596,46715163418;3
"4";"Flamenco";"ASV0004";"Shared";2,04897411237989e-05;14;6164,16570727531;3
"5";"Flamenco";"ASV0005";"Shared";2,43532626353749e-05;15;6635,38108861402;3
"6";"Flamenco";"ASV0006";"Core";0,000228213062296218;24;2596,46715163418;3
"7";"Flamenco";"ASV0007";"Shared";1,82058959197433e-05;12;1740,28770238733;3
"8";"Flamenco";"ASV0008";"Core";0,000227064940855893;22;1326,45272511616;3
"9";"Flamenco";"ASV0009";"Shared";1,22914209385289e-18;2;0;30
"10";"Flamenco";"ASV0010";"Shared";1,37457828784565e-18;2;0;30
"11";"Flamenco";"ASV0011";"Shared";3,07256117645086e-18;2;0;30
"12";"Flamenco";"ASV0012";"Shared";4,37843582081845e-18;5;0;9
"13";"Flamenco";"ASV0013";"Core";0,000586454004712794;33;33247,0456663539;3
"14";"Flamenco";"ASV0014";"Shared";2,1796251448926e-19;5;0;9
"15";"Flamenco";"ASV0015";"Shared";3,09359700756517e-18;5;0;9
"16";"Flamenco";"ASV0016";"Core";0,000203903700113268;32;3834,50422566101;3
"17";"Flamenco";"ASV0017";"Core";0,000153820061241928;31;3457,17234064108;3
"18";"Flamenco";"ASV0019";"Shared";9,42609241908503e-18;9;34;9
"19";"Flamenco";"ASV0020";"Other";0,105227659575856;43;19745,9857400828;3
"20";"Flamenco";"ASV0021";"Core";2,51854666026639e-05;15;26,3195503482033;3
"21";"Flamenco";"ASV0022";"Shared";6,51411815620807e-07;4;27,1703700742927;3
"22";"Flamenco";"ASV0023";"Core";0,000218109671299714;47;18739,6056659748;3
"23";"Flamenco";"ASV0024";"Shared";6,93043610497484e-18;8;8;9
"24";"Flamenco";"ASV0025";"Core";1,1563902511744e-18;2;0;33
"25";"Flamenco";"ASV0026";"Shared";6,74468802260421e-18;8;8;9
"26";"Flamenco";"ASV0027";"Other";1,71369669480911e-06;2;39,7548273757675;3
"27";"Flamenco";"ASV0028";"Other";0,0985426428543225;38;13313,4133858585;3
"28";"Flamenco";"ASV0029";"Core";3,51780529502137e-05;18;49,093553601545;3
"29";"Flamenco";"ASV0030";"Core";0,00456754373718883;25;9411,15678279205;3
"30";"Flamenco";"ASV0032";"Core";8,4417937345644e-08;2;0;3
"31";"Flamenco";"ASV0033";"Other";0,0515910794622474;25;2699,62223109896;3
"32";"Flamenco";"ASV0034";"Core";1,6456048861074e-05;12;16,1642330603244;3
"33";"Flamenco";"ASV0035";"Core";0,000364874834347504;47;29878,8448384827;3
"34";"Flamenco";"ASV0036";"Core";0,000179385630464512;24;2314,37191919034;3
"35";"Flamenco";"ASV0037";"Core";1,91969202009585e-18;2;0;33
"36";"Flamenco";"ASV0038";"Core";0,000215067849689287;47;12352,1720097663;3
"37";"Flamenco";"ASV0039";"Core";1,53618942728009e-18;2;0;33
"38";"Flamenco";"ASV0040";"Core";3,94602474413358e-06;3;1037;3
"39";"Flamenco";"ASV0041";"Other";0,00473229418504831;22;8623,23674546028;3
"40";"Flamenco";"ASV0043";"Core";3,94602474413137e-06;3;1037;3
"41";"Flamenco";"ASV0044";"Shared";1,68676673790743e-08;3;0;3
"42";"Flamenco";"ASV0045";"Core";0,00449673645263773;11;8,43762233393106;3
"43";"Flamenco";"ASV0047";"Other";8,93695248414625e-07;5;3936,02000841435;3
"44";"Flamenco";"ASV0048";"Core";1,38904498923349e-05;24;51,1187487377081;3
"45";"Flamenco";"ASV0049";"Shared";2,65487328202729e-18;3;0;8
"46";"Flamenco";"ASV0050";"Core";0,000113771936087208;20;1148,34586831564;3
"47";"Flamenco";"ASV0051";"Other";0,0144033998006726;6;0,829517704517704;2
"48";"Flamenco";"ASV0053";"Core";0,000113771936087213;20;1148,34586831564;3
"49";"Flamenco";"ASV0054";"Other";0,104960379845424;31;5486,48414689047;3
"50";"Flamenco";"ASV0056";"Core";1,88560752180942e-05;25;4729,81156208405;3
"51";"Flamenco";"ASV0057";"Shared";4,73373014406889e-18;5;0;9
"52";"Flamenco";"ASV0058";"Shared";1,68735255018803e-08;6;10355;3
"53";"Flamenco";"ASV0059";"Shared";7,08666663541252e-07;8;4720,84502121968;3
"54";"Flamenco";"ASV0060";"Other";1,85347184460507e-18;5;1;8
"55";"Flamenco";"ASV0061";"Shared";1,04446732660274e-05;9;3223,99258550563;3
"56";"Flamenco";"ASV0062";"Shared";2,04410582925176e-05;14;2298,70752597948;3
"57";"Flamenco";"ASV0063";"Core";3,04002567086063e-06;4;0;3
"58";"Flamenco";"ASV0064";"Core";1,041425275131e-05;21;33,8037036161894;3
"59";"Flamenco";"ASV0065";"Other";0,0369006901263977;12;44,1982697989094;2
