"";"Site";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1";"Huasco";"ASV0001";"Core";0,000352502299725372;22;4563,3103832594;1
"2";"Huasco";"ASV0002";"Shared";1,87237565457416e-05;13;3065,92140394353;1
"3";"Huasco";"ASV0003";"Core";0,000352993139267581;23;5000,16912301049;1
"4";"Huasco";"ASV0004";"Shared";1,87237565457479e-05;13;3065,92140394353;1
"5";"Huasco";"ASV0005";"Shared";2,54288710953355e-05;14;3357,83316055196;1
"6";"Huasco";"ASV0006";"Core";0,000352993139267614;23;5000,16912301049;1
"7";"Huasco";"ASV0007";"Shared";1,28595222576091e-05;11;769,412798555051;1
"8";"Huasco";"ASV0008";"Core";0,00024252717568615;21;2415,92744594601;1
"9";"Huasco";"ASV0009";"Shared";1,20976989257517e-17;2;0;39
"10";"Huasco";"ASV0010";"Shared";1,4847904178248e-17;2;0;39
"11";"Huasco";"ASV0011";"Shared";1,12011669713146e-17;2;0;39
"12";"Huasco";"ASV0012";"Shared";3,51413180189568e-17;5;0;8
"13";"Huasco";"ASV0013";"Core";5,98721507119578e-05;30;5067,11660073197;1
"14";"Huasco";"ASV0014";"Shared";3,28051541872314e-17;5;0;8
"15";"Huasco";"ASV0015";"Shared";3,67478380889434e-17;5;0;8
"16";"Huasco";"ASV0016";"Core";6,00968508066764e-05;31;5247,81172388987;1
"17";"Huasco";"ASV0017";"Core";6,00968508066814e-05;31;5247,81172388987;1
"18";"Huasco";"ASV0019";"Shared";4,50947834114625e-17;7;7;8
"19";"Huasco";"ASV0020";"Other";2,6014440501762e-05;15;9249,49237610112;3
"20";"Huasco";"ASV0021";"Core";5,09593869698375e-05;15;67,415192158417;1
"21";"Huasco";"ASV0022";"Shared";6,84123816725859e-07;4;12,6497790868925;1
"22";"Huasco";"ASV0023";"Core";0,000669359728562467;47;21088,7212664663;1
"23";"Huasco";"ASV0024";"Shared";4,95904270165667e-17;7;7;8
"24";"Huasco";"ASV0025";"Core";1,29557714399266e-17;2;0;43
"25";"Huasco";"ASV0026";"Shared";5,21634090228628e-17;7;7;8
"26";"Huasco";"ASV0027";"Other";3,21309546005076e-07;2;41,397956015297;1
"27";"Huasco";"ASV0029";"Core";5,33601160956028e-05;18;80,1101346210044;1
"28";"Huasco";"ASV0030";"Core";4,43536064856472e-05;17;8522,56503438481;1
"29";"Huasco";"ASV0031";"Other";1,61045336472235e-17;3;0;30
"30";"Huasco";"ASV0032";"Core";1,54590972963876e-07;2;0;33
"31";"Huasco";"ASV0033";"Other";1,91837940547095e-05;12;3615,18131430582;3
"32";"Huasco";"ASV0034";"Core";3,68152489894841e-05;12;39,0778711797651;1
"33";"Huasco";"ASV0035";"Core";0,000417448485279505;46;22307,6609482696;1
"34";"Huasco";"ASV0036";"Core";0,000243483337130339;23;4368,59693940974;1
