"";"Site";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1";"Las_Cruces";"ASV0001";"Core";1,14737009059252e-07;23;2345,72483774607;3
"2";"Las_Cruces";"ASV0002";"Shared";1,19216652049901e-08;14;7674,03188432485;3
"3";"Las_Cruces";"ASV0003";"Core";1,14872831458103e-07;24;2468,0689209132;3
"4";"Las_Cruces";"ASV0004";"Shared";1,19216652197396e-08;14;7674,03188432485;3
"5";"Las_Cruces";"ASV0005";"Shared";1,6941909650044e-08;15;9024,98614483075;3
"6";"Las_Cruces";"ASV0006";"Core";1,148728314555e-07;24;2468,0689209132;3
"7";"Las_Cruces";"ASV0007";"Shared";1,30958788665244e-08;12;1493,33747677619;3
"8";"Las_Cruces";"ASV0008";"Core";8,843195675524e-08;22;1100,6995513052;3
"9";"Las_Cruces";"ASV0009";"Shared";4,24642769973219e-18;2;0;38
"10";"Las_Cruces";"ASV0010";"Shared";2,31422059924404e-18;2;0;38
"11";"Las_Cruces";"ASV0011";"Shared";2,37590595151901e-18;2;0;38
"12";"Las_Cruces";"ASV0012";"Shared";2,57602780787557e-07;5;0;11
"13";"Las_Cruces";"ASV0013";"Core";5,16499637275329e-08;32;14631,8946141476;3
"14";"Las_Cruces";"ASV0014";"Shared";2,57602780789149e-07;5;0;11
"15";"Las_Cruces";"ASV0015";"Shared";2,57602780785062e-07;5;0;11
"16";"Las_Cruces";"ASV0016";"Core";5,21546259325061e-08;33;15057,3448773768;3
"17";"Las_Cruces";"ASV0017";"Core";5,19973919071024e-08;32;13803,0270912529;3
"18";"Las_Cruces";"ASV0019";"Shared";2,1960908012259e-05;10;27568;11
"19";"Las_Cruces";"ASV0020";"Other";1,64292095963981e-07;20;16174,1292620875;3
"20";"Las_Cruces";"ASV0021";"Core";1,56219313282118e-08;15;10,0933260608601;3
"21";"Las_Cruces";"ASV0022";"Shared";4,45238361285129e-10;4;13,0630786604533;3
"22";"Las_Cruces";"ASV0023";"Core";1,89608731354659e-07;45;36936,4470949659;3
"23";"Las_Cruces";"ASV0024";"Shared";2,66160818476363e-07;8;8;11
"24";"Las_Cruces";"ASV0025";"Core";3,93904796178919e-18;2;0;39
"25";"Las_Cruces";"ASV0026";"Shared";2,66160818469443e-07;8;8;11
"26";"Las_Cruces";"ASV0027";"Other";2,82836564605694e-09;2;71,665189096828;3
"27";"Las_Cruces";"ASV0028";"Other";1,05186377742238e-07;19;9778,40941673267;3
"28";"Las_Cruces";"ASV0029";"Core";1,7346978956581e-08;18;22,7829934651697;3
"29";"Las_Cruces";"ASV0030";"Core";1,92397782151147e-08;21;5376,44865000737;3
"30";"Las_Cruces";"ASV0031";"Other";3,23904908417011e-09;3;0;22
"31";"Las_Cruces";"ASV0032";"Core";3,51332767725799e-11;2;0;26
