"";"Site";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1";"Pta_Choros";"ASV0001";"Core";1,35735605428918e-06;23;3742,2667270809;1
"2";"Pta_Choros";"ASV0002";"Shared";4,7707747292644e-08;13;4316,81232197728;1
"3";"Pta_Choros";"ASV0003";"Core";5,39762459850673e-07;23;1530,54933084138;1
"4";"Pta_Choros";"ASV0004";"Shared";4,77077473272337e-08;13;4316,81232197728;1
"5";"Pta_Choros";"ASV0005";"Shared";5,03424406825743e-08;14;4601,63069622746;1
"6";"Pta_Choros";"ASV0006";"Core";5,39762459902557e-07;23;1530,54933084138;1
"7";"Pta_Choros";"ASV0007";"Shared";3,67498558939971e-08;11;478,514851806225;1
"8";"Pta_Choros";"ASV0008";"Core";5,38960447192534e-07;21;751,923338620465;1
"9";"Pta_Choros";"ASV0009";"Shared";6,48557697945918e-18;2;0;35
"10";"Pta_Choros";"ASV0010";"Shared";1,29711539589184e-17;2;0;35
"11";"Pta_Choros";"ASV0011";"Shared";6,48557697945918e-18;2;0;35
"12";"Pta_Choros";"ASV0012";"Shared";1,72948719452245e-17;5;0;6
"13";"Pta_Choros";"ASV0013";"Core";2,58315658064527e-06;34;20281,0402301812;1
"14";"Pta_Choros";"ASV0014";"Shared";2,16185899315306e-17;5;0;6
"15";"Pta_Choros";"ASV0015";"Shared";2,16185899315306e-17;5;0;6
"16";"Pta_Choros";"ASV0016";"Core";2,3150464826171e-07;33;2323,13353166401;1
"17";"Pta_Choros";"ASV0017";"Core";1,85491397247849e-07;32;2194,01772047656;1
"18";"Pta_Choros";"ASV0019";"Shared";1,72948719452245e-17;8;8;6
"19";"Pta_Choros";"ASV0021";"Core";6,5070424821022e-08;15;8,66735779190087;1
"20";"Pta_Choros";"ASV0022";"Shared";1,40272180992531e-09;3;0;1
"21";"Pta_Choros";"ASV0023";"Core";2,3981851727814e-07;49;12203,8563752108;1
"22";"Pta_Choros";"ASV0024";"Shared";2,59423079178367e-17;8;8;6
"23";"Pta_Choros";"ASV0025";"Core";1,72948719452245e-17;2;0;36
"24";"Pta_Choros";"ASV0026";"Shared";2,59423079178367e-17;8;8;6
"25";"Pta_Choros";"ASV0028";"Other";2,22488834649112e-05;15;3911,76262230196;1
"26";"Pta_Choros";"ASV0029";"Core";9,65778010375078e-08;18;19,623047505114;1
"27";"Pta_Choros";"ASV0030";"Core";3,41211860525201e-06;20;2773,75488981256;1
"28";"Pta_Choros";"ASV0031";"Other";7,96760914618936e-12;3;0;21
"29";"Pta_Choros";"ASV0032";"Core";2,40175041136035e-10;2;0;1
"30";"Pta_Choros";"ASV0034";"Core";3,56643421148935e-08;12;5,8688011424049;1
"31";"Pta_Choros";"ASV0035";"Core";1,05452557102407e-06;49;28519,7026458295;1
"32";"Pta_Choros";"ASV0036";"Core";5,04393375045948e-07;23;1234,81406437741;1
"33";"Pta_Choros";"ASV0037";"Core";1,29711539589184e-17;2;0;36
"34";"Pta_Choros";"ASV0038";"Core";2,37844832648726e-07;49;7523,68153693571;1
"35";"Pta_Choros";"ASV0039";"Core";8,64743597261224e-18;2;0;36
"36";"Pta_Choros";"ASV0040";"Core";1,13147229063708e-08;3;632;1
"37";"Pta_Choros";"ASV0041";"Other";4,38141135222873e-06;17;3109,58778491372;1
"38";"Pta_Choros";"ASV0042";"Core";7,96760482247137e-12;3;0;21
"39";"Pta_Choros";"ASV0043";"Core";1,13147229106945e-08;3;632;1
"40";"Pta_Choros";"ASV0044";"Shared";3,56895118262918e-11;3;0;1
"41";"Pta_Choros";"ASV0045";"Core";3,08375317909128e-06;8;8,91981513958584;1
"42";"Pta_Choros";"ASV0046";"Other";7,34776789685847e-10;4;3789;21
"43";"Pta_Choros";"ASV0048";"Core";2,55780407306956e-09;23;67,5523649115677;1
"44";"Pta_Choros";"ASV0049";"Shared";1,72948719452245e-17;3;0;14
"45";"Pta_Choros";"ASV0050";"Core";4,60178985350879e-07;19;668,164472028289;1
"46";"Pta_Choros";"ASV0051";"Other";4,2058609620248e-07;4;3,88153513153513;1
"47";"Pta_Choros";"ASV0053";"Core";4,60178985402764e-07;19;668,164472028289;1
"48";"Pta_Choros";"ASV0056";"Core";4,97580615564171e-09;22;1593,01435632608;1
"49";"Pta_Choros";"ASV0057";"Shared";1,72948719452245e-17;5;0;6
"50";"Pta_Choros";"ASV0058";"Shared";3,57017263296031e-11;6;6305;1
"51";"Pta_Choros";"ASV0059";"Shared";1,56718017407938e-09;8;4438,89584442991;1
"52";"Pta_Choros";"ASV0060";"Other";4,32371798630612e-18;5;1;14
"53";"Pta_Choros";"ASV0061";"Shared";3,3973438888995e-08;9;933,060975595929;1
"54";"Pta_Choros";"ASV0062";"Shared";5,33127645490378e-08;15;1184,91620461878;1
"55";"Pta_Choros";"ASV0063";"Core";2,88115924616911e-09;4;0;1
