"";"Site";"ASV";"Node_Category";"Eigen_Centrality";"Degree_Centrality";"Betweenness_Centrality";"Membership"
"1";"Quintero";"ASV0001";"Core";0,000161690540506925;24;6646,74795047484;1
"2";"Quintero";"ASV0002";"Shared";4,3373074657049e-06;14;8198,22340106073;1
"3";"Quintero";"ASV0003";"Core";8,91950629599714e-05;24;3061,06529226818;1
"4";"Quintero";"ASV0004";"Shared";4,33730746570051e-06;14;8198,22340106073;1
"5";"Quintero";"ASV0005";"Shared";4,6031202232204e-06;15;8960,15159964116;1
"6";"Quintero";"ASV0006";"Core";8,91950629599523e-05;24;3061,06529226818;1
"7";"Quintero";"ASV0007";"Shared";3,44034190249482e-06;12;2518,58735830488;1
"8";"Quintero";"ASV0008";"Core";8,91337724778808e-05;22;1915,92196957435;1
"9";"Quintero";"ASV0009";"Shared";7,31029263126866e-19;2;0;31
"10";"Quintero";"ASV0010";"Shared";2,66519616344483e-20;2;0;31
"11";"Quintero";"ASV0011";"Shared";5,16235946936109e-19;2;0;31
"12";"Quintero";"ASV0012";"Shared";2,79244539557993e-11;5;0;4
"13";"Quintero";"ASV0013";"Core";0,00029230222639054;34;48383,1001833529;1
"14";"Quintero";"ASV0014";"Shared";2,79244558826068e-11;5;0;4
"15";"Quintero";"ASV0015";"Shared";2,79244533171119e-11;5;0;4
"16";"Quintero";"ASV0016";"Core";3,06079292140226e-05;33;7838,56210509959;1
"17";"Quintero";"ASV0017";"Core";2,2954724730852e-05;32;6959,70605006604;1
"18";"Quintero";"ASV0019";"Shared";3,07775591753456e-09;10;23213;4
"19";"Quintero";"ASV0020";"Other";0,00965142752542704;29;24982,8657872719;1
"20";"Quintero";"ASV0021";"Core";7,45951464613286e-06;15;10,9734809340184;1
"21";"Quintero";"ASV0022";"Shared";1,06151816761561e-07;4;18,7761608644201;1
"22";"Quintero";"ASV0023";"Core";3,06991782310658e-05;49;25986,1727586317;1
"23";"Quintero";"ASV0024";"Shared";2,86512922717218e-11;8;8;4
