"From"	"to"	"rValue"	"pValue"
"ASV0001"	"ASV0003"	0.997501654784883	7.67977596598823e-70
"ASV0001"	"ASV0006"	0.996878301796177	6.79005185838337e-67
"ASV0001"	"ASV0008"	0.996396576124893	5.36597441299383e-65
"ASV0001"	"ASV0013"	0.813901810418969	5.8361996086662e-14
"ASV0001"	"ASV0016"	0.814966499781135	4.98309123804706e-14
"ASV0001"	"ASV0017"	0.805689062864315	1.88494573851664e-13
"ASV0001"	"ASV0021"	0.625674056431148	2.23731973561098e-06
"ASV0001"	"ASV0023"	0.870002983382068	2.54920188098616e-18
"ASV0001"	"ASV0029"	0.636630335606753	1.10857822046948e-06
"ASV0001"	"ASV0030"	-0.609055108838604	6.20260012991187e-06
"ASV0001"	"ASV0035"	0.8716544151891	1.77109577255086e-18
"ASV0001"	"ASV0036"	0.972651156573331	2.67501990217007e-38
"ASV0001"	"ASV0038"	0.867454726972432	4.42816689594542e-18
"ASV0001"	"ASV0050"	0.973194569337126	1.46189350271468e-38
"ASV0001"	"ASV0053"	0.971660295251153	7.80631510738161e-38
"ASV0001"	"ASV0079"	-0.619844817406121	3.22538761476456e-06
"ASV0001"	"ASV0121"	0.620187041589556	3.15707051165472e-06
"ASV0001"	"ASV0152"	0.612542649153348	5.02863924365241e-06
"ASV0001"	"ASV0155"	0.655621557448399	3.07186011778494e-07
"ASV0001"	"ASV0237"	0.600619422240893	1.01293341117122e-05
"ASV0001"	"ASV0315"	-0.622867988923206	2.67144690521643e-06
"ASV0001"	"ASV0454"	0.648648395941207	4.98996907936031e-07
"ASV0001"	"ASV1207"	0.629403730884903	1.77509387011526e-06
"ASV0002"	"ASV0004"	0.994779603321482	4.26107516263741e-60
"ASV0002"	"ASV0005"	0.995295698924731	1.79450357019046e-61
"ASV0002"	"ASV0007"	0.996207757296467	2.54069564171254e-64
"ASV0002"	"ASV0013"	-0.611247296227296	5.43849356202779e-06
"ASV0002"	"ASV0016"	-0.629049977198201	1.81564797161072e-06
"ASV0002"	"ASV0017"	-0.637238384191713	1.06691080912334e-06
"ASV0002"	"ASV0022"	0.612142385905545	5.15208166820897e-06
"ASV0002"	"ASV0023"	-0.605298711206133	7.72602133832641e-06
"ASV0002"	"ASV0035"	-0.600449333414149	1.02275369093403e-05
"ASV0002"	"ASV0047"	0.636670765112028	1.10561061084199e-06
"ASV0002"	"ASV0059"	-0.601851247328153	9.43277920954646e-06
"ASV0002"	"ASV0067"	-0.611711689054283	5.28791718622433e-06
"ASV0002"	"ASV0082"	-0.615106199898963	4.30227647304193e-06
"ASV0002"	"ASV0114"	-0.64248066199184	7.55045074429579e-07
"ASV0003"	"ASV0001"	0.997501654784883	6.33584878861884e-72
"ASV0003"	"ASV0006"	0.999087202427477	3.6254296389955e-83
"ASV0003"	"ASV0008"	0.996875600845991	6.97098020715627e-67
"ASV0003"	"ASV0013"	0.811608045836879	8.17612624044442e-14
"ASV0003"	"ASV0016"	0.814836519670672	5.08043312825056e-14
"ASV0003"	"ASV0017"	0.805989430087661	1.80678639026509e-13
"ASV0003"	"ASV0021"	0.635340208080689	1.20743965714541e-06
"ASV0003"	"ASV0023"	0.866774023978893	5.121698632566e-18
"ASV0003"	"ASV0029"	0.645136247198118	6.30433136328965e-07
"ASV0003"	"ASV0030"	-0.610250580844503	5.77283205028778e-06
"ASV0003"	"ASV0034"	0.603577655739548	8.52999056035753e-06
"ASV0003"	"ASV0035"	0.868536544902781	3.50793658820858e-18
"ASV0003"	"ASV0036"	0.971502061016852	9.22890015162087e-38
"ASV0003"	"ASV0038"	0.866866649217807	5.02168934402482e-18
"ASV0003"	"ASV0050"	0.971828376022536	6.52718447301195e-38
"ASV0003"	"ASV0053"	0.970148419890695	3.72628466034301e-37
"ASV0003"	"ASV0079"	-0.62060730189228	3.07529186765302e-06
"ASV0003"	"ASV0121"	0.617939485306422	3.63089907381972e-06
"ASV0003"	"ASV0152"	0.613575256162009	4.72243285201995e-06
"ASV0003"	"ASV0155"	0.651571328820345	4.08472645238158e-07
"ASV0003"	"ASV0237"	0.607056438039693	6.98482779562224e-06
"ASV0003"	"ASV0315"	-0.614700810440481	4.40952617485525e-06
"ASV0003"	"ASV0454"	0.645694533052979	6.06866271043674e-07
"ASV0003"	"ASV1207"	0.627487118040717	2.00644575706696e-06
"ASV0004"	"ASV0002"	0.994779603321482	3.51923171279921e-62
"ASV0004"	"ASV0005"	0.997443805801062	1.54235287054566e-69
"ASV0004"	"ASV0007"	0.995043623387026	8.78519189063622e-61
"ASV0004"	"ASV0013"	-0.614956291776573	4.34155744578611e-06
"ASV0004"	"ASV0016"	-0.633059348651394	1.40162728694252e-06
"ASV0004"	"ASV0017"	-0.637426309497591	1.05405083071144e-06
"ASV0004"	"ASV0022"	0.603301096295684	8.66976175421031e-06
"ASV0004"	"ASV0023"	-0.614169032603011	4.55473886306402e-06
"ASV0004"	"ASV0035"	-0.606502292992799	7.21641542626065e-06
"ASV0004"	"ASV0047"	0.650048463998609	4.54219136724943e-07
"ASV0004"	"ASV0059"	-0.603376413494556	8.6313726755358e-06
"ASV0004"	"ASV0067"	-0.61089326900914	5.55520026582982e-06
"ASV0004"	"ASV0082"	-0.614152124516191	4.55932362517768e-06
"ASV0004"	"ASV0114"	-0.64393156183737	6.84271071048316e-07
"ASV0005"	"ASV0002"	0.995295698924731	1.48183670676597e-63
"ASV0005"	"ASV0004"	0.997443805801062	1.27250113455234e-71
"ASV0005"	"ASV0007"	0.996111751152074	5.43882034297326e-64
"ASV0005"	"ASV0013"	-0.615333495218984	4.24729534475307e-06
"ASV0005"	"ASV0016"	-0.634642818261663	1.26404680438699e-06
"ASV0005"	"ASV0017"	-0.642838947864026	7.36975063218161e-07
"ASV0005"	"ASV0023"	-0.621703576876296	2.87280843431626e-06
"ASV0005"	"ASV0035"	-0.614491692168229	4.46602396621763e-06
"ASV0005"	"ASV0038"	-0.604042709936449	8.2991567286159e-06
"ASV0005"	"ASV0047"	0.644705257661997	6.49321834049545e-07
"ASV0005"	"ASV0059"	-0.60223983616465	9.22262757866642e-06
"ASV0005"	"ASV0067"	-0.609040140803361	6.20800116372323e-06
"ASV0005"	"ASV0082"	-0.625840315452579	2.21376330748076e-06
"ASV0005"	"ASV0105"	-0.605608529153718	7.59700937646462e-06
"ASV0005"	"ASV0114"	-0.652387182516727	3.85786229117137e-07
"ASV0006"	"ASV0001"	0.996878301796177	5.60346396189035e-69
"ASV0006"	"ASV0003"	0.999087202427477	2.98310747776407e-85
"ASV0006"	"ASV0008"	0.996540716819674	1.54817685911079e-65
"ASV0006"	"ASV0013"	0.811425460125845	8.39692133598637e-14
"ASV0006"	"ASV0016"	0.814725371164122	5.16508723187094e-14
"ASV0006"	"ASV0017"	0.806434381146335	1.69666145934606e-13
"ASV0006"	"ASV0021"	0.638139979702206	1.0082012333805e-06
"ASV0006"	"ASV0023"	0.864813668925642	7.75863471593013e-18
"ASV0006"	"ASV0029"	0.646589336511389	5.70747724347743e-07
"ASV0006"	"ASV0030"	-0.610119843961787	5.8179617298499e-06
"ASV0006"	"ASV0034"	0.604806738796113	7.93445092579565e-06
"ASV0006"	"ASV0035"	0.867486471191651	4.39842021009403e-18
"ASV0006"	"ASV0036"	0.972313195782304	3.87140051451319e-38
"ASV0006"	"ASV0038"	0.865192031844219	7.16474700278909e-18
"ASV0006"	"ASV0050"	0.973460106736672	1.08325684933689e-38
"ASV0006"	"ASV0053"	0.971539589109976	8.87052381411398e-38
"ASV0006"	"ASV0079"	-0.619670401568554	3.26053433485763e-06
"ASV0006"	"ASV0121"	0.61052657460426	5.67936287835317e-06
"ASV0006"	"ASV0152"	0.614384267273401	4.4953228392592e-06
"ASV0006"	"ASV0155"	0.64589934716976	5.98438887574695e-07
"ASV0006"	"ASV0237"	0.600878857868831	9.97793879939249e-06
"ASV0006"	"ASV0315"	-0.614657709355183	4.42103978653485e-06
"ASV0006"	"ASV0454"	0.644293722547644	6.6768406853294e-07
"ASV0006"	"ASV1207"	0.625530568129082	2.25768633254386e-06
"ASV0007"	"ASV0002"	0.996207757296467	2.09748890877426e-66
"ASV0007"	"ASV0004"	0.995043623387026	7.25510326388654e-63
"ASV0007"	"ASV0005"	0.996111751152074	4.49024368586631e-66
"ASV0007"	"ASV0013"	-0.605238180063048	7.75361532851454e-06
