"colMeans..t.."	"Node"	"Node_Category"
"ASV0001"	0.06609780588426	"ASV0001"	"Core"
"ASV0002"	0.0649051534665677	"ASV0002"	"Shared"
"ASV0003"	0.0504157758071224	"ASV0003"	"Core"
"ASV0004"	0.0504668361870979	"ASV0004"	"Shared"
"ASV0005"	0.0476171438648794	"ASV0005"	"Shared"
"ASV0006"	0.0468065323224339	"ASV0006"	"Core"
"ASV0007"	0.0307146539113462	"ASV0007"	"Shared"
"ASV0008"	0.0304156068573075	"ASV0008"	"Core"
"ASV0009"	0.0248606379203322	"ASV0009"	"Shared"
"ASV0010"	0.019266180522702	"ASV0010"	"Shared"
"ASV0011"	0.0180720502982073	"ASV0011"	"Shared"
"ASV0012"	0.0114759962817401	"ASV0012"	"Shared"
"ASV0013"	0.00914567792307268	"ASV0013"	"Core"
"ASV0014"	0.00862642160507598	"ASV0014"	"Shared"
"ASV0015"	0.00826881121600647	"ASV0015"	"Shared"
"ASV0016"	0.00698112321141251	"ASV0016"	"Core"
"ASV0017"	0.00662182427536954	"ASV0017"	"Core"
"ASV0019"	0.00628654556761463	"ASV0019"	"Shared"
"ASV0020"	0.00607112573479924	"ASV0020"	"Other"
"ASV0021"	0.00475566114030444	"ASV0021"	"Core"
"ASV0022"	0.0049021447438265	"ASV0022"	"Shared"
"ASV0023"	0.00420635883454624	"ASV0023"	"Core"
"ASV0024"	0.00478863492564109	"ASV0024"	"Shared"
"ASV0025"	0.00401416765902279	"ASV0025"	"Core"
"ASV0026"	0.0044779070193502	"ASV0026"	"Shared"
"ASV0027"	0.00424208776690594	"ASV0027"	"Other"
"ASV0028"	0.00461312705088641	"ASV0028"	"Other"
"ASV0029"	0.00362584009664912	"ASV0029"	"Core"
"ASV0030"	0.0040396126530385	"ASV0030"	"Core"
"ASV0031"	0.00331968074763318	"ASV0031"	"Other"
"ASV0032"	0.00374590033569706	"ASV0032"	"Core"
"ASV0033"	0.00426387675203275	"ASV0033"	"Other"
"ASV0034"	0.00337254263478872	"ASV0034"	"Core"
"ASV0035"	0.00319708391607464	"ASV0035"	"Core"
"ASV0036"	0.00309934644696309	"ASV0036"	"Core"
"ASV0037"	0.00297425330458225	"ASV0037"	"Core"
"ASV0038"	0.00292175246377631	"ASV0038"	"Core"
"ASV0039"	0.00274505732589136	"ASV0039"	"Core"
"ASV0040"	0.00290288597927454	"ASV0040"	"Core"
"ASV0041"	0.00311308066687694	"ASV0041"	"Other"
"ASV0042"	0.00250162806669481	"ASV0042"	"Core"
"ASV0043"	0.0027485927726283	"ASV0043"	"Core"
"ASV0044"	0.00285589595149947	"ASV0044"	"Shared"
"ASV0045"	0.00291940798326311	"ASV0045"	"Core"
"ASV0046"	0.00235706096695386	"ASV0046"	"Other"
"ASV0047"	0.00266380757650721	"ASV0047"	"Other"
"ASV0048"	0.00266121090535397	"ASV0048"	"Core"
"ASV0049"	0.00255350001144876	"ASV0049"	"Shared"
"ASV0050"	0.00236813504664381	"ASV0050"	"Core"
"ASV0051"	0.00280178112050696	"ASV0051"	"Other"
"ASV0053"	0.0021872620759133	"ASV0053"	"Core"
"ASV0054"	0.00277733745136503	"ASV0054"	"Other"
"ASV0056"	0.00255958654606138	"ASV0056"	"Core"
"ASV0057"	0.00217126337971884	"ASV0057"	"Shared"
"ASV0058"	0.00233492848958429	"ASV0058"	"Shared"
"ASV0059"	0.00216586589878376	"ASV0059"	"Shared"
"ASV0060"	0.00193585893745227	"ASV0060"	"Other"
"ASV0061"	0.00192963318232431	"ASV0061"	"Shared"
"ASV0062"	0.00187536370951595	"ASV0062"	"Shared"
"ASV0063"	0.00202084764031673	"ASV0063"	"Core"
"ASV0064"	0.00191637036562367	"ASV0064"	"Core"
"ASV0065"	0.00216340086963211	"ASV0065"	"Other"
"ASV0066"	0.00180726259520537	"ASV0066"	"Shared"
"ASV0067"	0.0019848052679498	"ASV0067"	"Shared"
"ASV0068"	0.00243790737189934	"ASV0068"	"Shared"
"ASV0069"	0.00211177426665733	"ASV0069"	"Other"
"ASV0070"	0.00179600090335032	"ASV0070"	"Other"
"ASV0071"	0.00197097427031814	"ASV0071"	"Core"
"ASV0072"	0.00196347581906379	"ASV0072"	"Core"
"ASV0073"	0.00180528899098734	"ASV0073"	"Core"
"ASV0074"	0.00201327913476789	"ASV0074"	"Other"
"ASV0075"	0.00155221447018757	"ASV0075"	"Other"
"ASV0077"	0.0018387465379696	"ASV0077"	"Core"
"ASV0078"	0.00172949316145094	"ASV0078"	"Other"
"ASV0079"	0.00185826070557687	"ASV0079"	"Other"
"ASV0080"	0.00173698728572127	"ASV0080"	"Shared"
"ASV0081"	0.00184578073136735	"ASV0081"	"Core"
"ASV0082"	0.00153642158413268	"ASV0082"	"Shared"
"ASV0083"	0.00184129305016613	"ASV0083"	"Core"
"ASV0084"	0.0016136722018143	"ASV0084"	"Shared"
"ASV0085"	0.00168929270480056	"ASV0085"	"Core"
"ASV0086"	0.00155288589736886	"ASV0086"	"Core"
"ASV0087"	0.00156767115409849	"ASV0087"	"Shared"
"ASV0088"	0.0015271595291384	"ASV0088"	"Other"
"ASV0089"	0.00145680834002286	"ASV0089"	"Shared"
"ASV0090"	0.00164675881704206	"ASV0090"	"Shared"
"ASV0091"	0.00163410065188627	"ASV0091"	"Shared"
"ASV0092"	0.00149065263065805	"ASV0092"	"Other"
"ASV0093"	0.00172178942475132	"ASV0093"	"Other"
"ASV0097"	0.00148213241931137	"ASV0097"	"Core"
"ASV0100"	0.00128267701913703	"ASV0100"	"Other"
"ASV0101"	0.00156275458738794	"ASV0101"	"Core"
"ASV0102"	0.00139666888055533	"ASV0102"	"Core"
"ASV0103"	0.00152206916685257	"ASV0103"	"Shared"
"ASV0104"	0.00138211846674018	"ASV0104"	"Core"
"ASV0105"	0.00119567703579996	"ASV0105"	"Shared"
"ASV0106"	0.00129099479264	"ASV0106"	"Shared"
"ASV0107"	0.00138810855802606	"ASV0107"	"Core"
"ASV0108"	0.00129559019736607	"ASV0108"	"Shared"
"ASV0109"	0.00130590941185687	"ASV0109"	"Shared"
"ASV0110"	0.00174166726946638	"ASV0110"	"Shared"
"ASV0112"	0.00146206716436098	"ASV0112"	"Shared"
"ASV0113"	0.00119153382994333	"ASV0113"	"Shared"
"ASV0114"	0.00111020396639467	"ASV0114"	"Shared"
"ASV0117"	0.00160912175683242	"ASV0117"	"Shared"
"ASV0118"	0.00124384264291998	"ASV0118"	"Core"
"ASV0119"	0.00114763661038598	"ASV0119"	"Shared"
"ASV0120"	0.00124808214600269	"ASV0120"	"Core"
"ASV0121"	0.00117708370423555	"ASV0121"	"Shared"
"ASV0123"	0.00107259945650174	"ASV0123"	"Other"
"ASV0124"	0.00129982756188719	"ASV0124"	"Other"
"ASV0125"	0.00111571396788252	"ASV0125"	"Shared"
"ASV0127"	0.00116413826708939	"ASV0127"	"Core"
"ASV0128"	0.00100179735701731	"ASV0128"	"Other"
"ASV0129"	0.00108521952244148	"ASV0129"	"Shared"
"ASV0130"	0.00106752617276073	"ASV0130"	"Shared"
"ASV0131"	0.00119862039290878	"ASV0131"	"Other"
"ASV0132"	0.00100282392204652	"ASV0132"	"Shared"
"ASV0134"	0.00115986791979169	"ASV0134"	"Core"
"ASV0135"	0.000965588680323912	"ASV0135"	"Core"
"ASV0137"	0.000975291438851542	"ASV0137"	"Other"
"ASV0138"	0.0015132335976926	"ASV0138"	"Other"
"ASV0139"	0.000949542121858288	"ASV0139"	"Shared"
"ASV0140"	0.00101949055684767	"ASV0140"	"Other"
"ASV0142"	0.00101500700833185	"ASV0142"	"Core"
"ASV0143"	0.00116557618763372	"ASV0143"	"Core"
"ASV0144"	0.00109581343915639	"ASV0144"	"Shared"
"ASV0145"	0.00109632428136135	"ASV0145"	"Core"
"ASV0146"	0.00114034386928826	"ASV0146"	"Shared"
"ASV0147"	0.000994920756284979	"ASV0147"	"Core"
"ASV0150"	0.00109153190056637	"ASV0150"	"Shared"
"ASV0152"	0.000903494035514254	"ASV0152"	"Shared"
"ASV0153"	0.000921709489465766	"ASV0153"	"Shared"
"ASV0155"	0.000859548792356717	"ASV0155"	"Shared"
"ASV0156"	0.0013752189758032	"ASV0156"	"Other"
"ASV0158"	0.000825171556187742	"ASV0158"	"Shared"
"ASV0159"	0.000940303548415455	"ASV0159"	"Shared"
"ASV0160"	0.000788734957291026	"ASV0160"	"Other"
"ASV0162"	0.000829076333483809	"ASV0162"	"Other"
"ASV0163"	0.00086686707481334	"ASV0163"	"Shared"
"ASV0164"	0.00106116931026093	"ASV0164"	"Shared"
"ASV0165"	0.000956405900646292	"ASV0165"	"Shared"
"ASV0166"	0.000966222508520979	"ASV0166"	"Shared"
"ASV0167"	0.000951710544042762	"ASV0167"	"Other"
"ASV0169"	0.000894244707835659	"ASV0169"	"Shared"
"ASV0170"	0.000844945341625976	"ASV0170"	"Other"
"ASV0171"	0.000990667123712451	"ASV0171"	"Shared"
"ASV0173"	0.000789014492569203	"ASV0173"	"Shared"
"ASV0174"	0.00123362743509434	"ASV0174"	"Other"
"ASV0177"	0.000833935720695179	"ASV0177"	"Other"
"ASV0178"	0.000789850370288256	"ASV0178"	"Other"
