"";"ASV0001";"ASV0002";"ASV0003";"ASV0004";"ASV0005";"ASV0006";"ASV0007";"ASV0008";"ASV0009";"ASV0010";"ASV0011";"ASV0012";"ASV0013";"ASV0014";"ASV0015";"ASV0016";"ASV0017";"ASV0019";"ASV0021";"ASV0022";"ASV0023";"ASV0024";"ASV0025";"ASV0026";"ASV0029";"ASV0030";"ASV0032";"ASV0034";"ASV0035";"ASV0036";"ASV0037";"ASV0038";"ASV0039";"ASV0040";"ASV0042";"ASV0043";"ASV0044";"ASV0045";"ASV0048";"ASV0049";"ASV0050";"ASV0052";"ASV0053";"ASV0056";"ASV0057";"ASV0058";"ASV0059";"ASV0061";"ASV0062";"ASV0063";"ASV0064";"ASV0066";"ASV0067";"ASV0068";"ASV0071";"ASV0072";"ASV0073";"ASV0077";"ASV0080";"ASV0081";"ASV0082";"ASV0083";"ASV0084";"ASV0085";"ASV0086";"ASV0087";"ASV0089";"ASV0090";"ASV0091";"ASV0094";"ASV0097";"ASV0101";"ASV0102";"ASV0103";"ASV0104";"ASV0105";"ASV0106";"ASV0107";"ASV0108";"ASV0109";"ASV0110";"ASV0112";"ASV0113";"ASV0114";"ASV0117";"ASV0118";"ASV0119";"ASV0120";"ASV0121";"ASV0125";"ASV0127";"ASV0129";"ASV0130";"ASV0132";"ASV0134";"ASV0135";"ASV0139";"ASV0141";"ASV0142";"ASV0143";"ASV0144";"ASV0145";"ASV0146";"ASV0147";"ASV0150";"ASV0152";"ASV0153";"ASV0155";"ASV0157";"ASV0158";"ASV0159";"ASV0163";"ASV0164";"ASV0165";"ASV0166";"ASV0169";"ASV0171";"ASV0173";"ASV0176";"ASV0179";"ASV0180";"ASV0182";"ASV0186";"ASV0187";"ASV0190";"ASV0197";"ASV0200";"ASV0202";"ASV0204";"ASV0206";"ASV0207";"ASV0208";"ASV0210";"ASV0216";"ASV0217";"ASV0218";"ASV0220";"ASV0223";"ASV0230";"ASV0232";"ASV0236";"ASV0237";"ASV0238";"ASV0242";"ASV0245";"ASV0248";"ASV0249";"ASV0250";"ASV0253";"ASV0256";"ASV0260";"ASV0261";"ASV0263";"ASV0265";"ASV0268";"ASV0270";"ASV0273";"ASV0275";"ASV0277";"ASV0278";"ASV0279";"ASV0280";"ASV0284";"ASV0286";"ASV0288";"ASV0292";"ASV0295";"ASV0299";"ASV0304";"ASV0305";"ASV0306";"ASV0312";"ASV0314";"ASV0315";"ASV0322";"ASV0325";"ASV0326";"ASV0327";"ASV0333";"ASV0336";"ASV0338";"ASV0349";"ASV0354";"ASV0358";"ASV0360";"ASV0362";"ASV0363";"ASV0365";"ASV0369";"ASV0372";"ASV0376";"ASV0379";"ASV0380";"ASV0382";"ASV0384";"ASV0385";"ASV0388";"ASV0389";"ASV0394";"ASV0395";"ASV0396";"ASV0401";"ASV0402";"ASV0403";"ASV0404";"ASV0408";"ASV0409";"ASV0412";"ASV0414";"ASV0416";"ASV0420";"ASV0424";"ASV0425";"ASV0439";"ASV0441";"ASV0442";"ASV0452";"ASV0456";"ASV0458";"ASV0459";"ASV0461";"ASV0462";"ASV0465";"ASV0473";"ASV0476";"ASV0486";"ASV0493";"ASV0497";"ASV0500";"ASV0501";"ASV0502";"ASV0505";"ASV0508";"ASV0510";"ASV0515";"ASV0530";"ASV0531";"ASV0543";"ASV0550";"ASV0561";"ASV0569";"ASV0572";"ASV0575";"ASV0583";"ASV0587";"ASV0591";"ASV0595";"ASV0600";"ASV0606";"ASV0621";"ASV0631";"ASV0639";"ASV0652";"ASV0663";"ASV0668";"ASV0676";"ASV0688";"ASV0689";"ASV0707";"ASV0711";"ASV0720";"ASV0726";"ASV0730";"ASV0753";"ASV0767";"ASV0769";"ASV0775";"ASV0795";"ASV0797";"ASV0799";"ASV0809";"ASV0819";"ASV0834";"ASV0838";"ASV0846";"ASV0855";"ASV0856";"ASV0858";"ASV0864";"ASV0867";"ASV0882";"ASV0902";"ASV0913";"ASV0928";"ASV0931";"ASV0932";"ASV0971";"ASV0984";"ASV1002";"ASV1005";"ASV1008";"ASV1043";"ASV1079";"ASV1112";"ASV1116";"ASV1119";"ASV1130";"ASV1144";"ASV1161";"ASV1191";"ASV1207";"ASV1272";"ASV1284";"ASV1301";"ASV1319";"ASV1335";"ASV1383";"ASV1389";"ASV1403";"ASV1411";"ASV1412";"ASV1506";"ASV1531";"ASV1593";"ASV1604";"ASV1742";"ASV1835";"ASV1908";"ASV1945";"ASV2042";"ASV2107";"ASV2110";"ASV2286";"ASV2369";"ASV2401";"ASV2504";"ASV2570";"ASV2590";"ASV2707";"ASV2826";"ASV3815";"ASV4333"
"C1A17";0;6100;0;4731;4496;0;2971;0;657;519;545;13;0;0;0;0;0;0;298;2156;0;0;0;0;239;85;0;239;0;0;0;0;24;0;0;0;0;56;0;0;0;2517;0;0;0;4;0;0;0;0;0;0;0;0;1911;0;0;0;0;1868;0;0;0;0;0;0;0;0;0;318;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;890;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;43;27;0;0;0;34;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1F18";3177;1700;2499;1448;1379;2309;823;1526;2245;1752;1664;116;210;79;84;194;155;89;470;0;58;74;0;69;344;215;58;309;43;132;0;66;0;60;0;84;246;142;232;0;121;121;80;41;0;71;147;0;59;82;168;0;143;67;111;39;159;889;100;105;25;36;0;78;154;0;0;76;69;0;61;6;77;86;90;36;0;41;0;69;0;106;0;31;0;62;0;724;73;0;645;102;4;0;7;0;50;0;67;0;61;6;0;51;82;13;12;11;0;22;18;27;63;65;51;289;75;0;0;84;7;0;0;31;0;135;0;0;0;224;8;62;9;54;30;7;0;4;6;0;41;12;0;11;44;8;0;0;17;120;82;5;87;120;0;51;0;216;3;0;65;216;95;0;75;10;53;0;68;5;0;77;12;19;0;0;0;8;0;11;72;0;0;0;15;50;0;51;0;75;73;9;0;154;9;0;76;0;49;140;0;0;103;3;0;0;97;170;0;11;0;30;27;16;132;0;41;0;78;0;0;60;0;10;21;94;0;11;11;0;0;52;31;36;0;45;0;0;12;10;0;81;0;0;5;4;0;201;40;5;9;45;0;0;0;0;0;8;0;13;17;0;149;14;0;11;33;0;60;0;0;6;0;0;0;69;1;55;33;14;0;1;11;0;0;11;0;49;26;1;0;14;5;0;0;2;0;28;0;32;0;0;0;8;0;25;19;0;0;16;13;14;0;5;0;0;0;0;0;0;5;0;0;0;0;10;0;9;0;2;0;1
"C1A18";3732;1160;2797;813;806;2616;625;1739;1787;1367;1311;224;590;164;145;494;417;46;48;0;99;0;88;0;37;0;259;19;84;155;0;73;0;184;0;161;357;0;330;0;133;74;94;767;0;98;263;146;105;100;300;0;255;44;51;564;272;0;57;53;9;538;0;459;0;41;0;0;0;0;84;373;386;40;98;6;0;117;0;86;0;567;0;6;0;334;0;0;46;108;0;157;0;0;271;0;14;0;88;27;0;266;0;86;385;58;52;68;0;0;54;85;32;0;0;11;372;26;0;98;34;0;0;19;0;18;0;0;0;34;68;0;167;38;0;61;0;183;21;0;0;0;0;21;23;53;35;0;0;48;0;105;0;0;0;39;0;21;120;0;57;0;11;31;0;13;0;0;0;51;0;0;0;0;0;67;0;0;0;39;0;24;0;0;49;0;0;0;34;2;10;0;26;0;4;33;0;35;0;0;0;18;16;71;37;0;0;0;10;0;31;0;0;0;0;0;28;0;6;73;0;0;54;12;0;17;10;0;0;0;12;0;0;0;0;51;99;96;12;32;0;9;0;0;125;0;0;0;41;6;37;0;0;0;15;0;40;138;0;18;34;0;0;24;0;17;8;11;0;0;30;0;0;0;0;13;10;8;0;1;34;3;13;0;22;0;4;0;0;7;6;6;0;0;13;3;9;0;2;3;0;0;0;0;1;0;0;0;14;0;0;2;0;2;9;0;9;0;0;0;0;5;0;0;0;3;0;0;4;0;0;0
"C2A17";0;15391;0;11918;11333;0;7188;0;532;453;354;0;0;0;9;0;0;0;0;0;0;0;35;0;0;27;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;16;0;0;0;0;0;11;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2F18";503;433;395;315;337;370;187;258;1253;1011;899;189;51;145;143;43;46;3524;62;0;8;2802;0;2771;49;580;63;101;3;0;0;6;0;45;0;42;194;396;70;0;0;101;0;21;0;131;179;0;0;110;40;0;132;0;72;28;43;334;67;75;51;24;0;14;64;0;22;87;88;0;86;1;19;20;38;42;0;72;0;60;0;82;28;40;0;9;0;300;43;0;241;88;0;0;2;0;0;0;28;0;22;4;67;54;59;0;24;0;70;0;11;0;83;24;13;158;83;0;0;86;3;0;46;0;0;0;0;69;32;115;8;80;0;59;38;0;648;2;3;7;19;8;0;9;77;0;15;13;0;50;0;0;0;101;15;0;0;104;0;36;16;130;102;0;125;0;68;0;23;0;0;68;0;49;543;29;0;5;474;0;0;0;0;99;0;0;0;40;0;56;51;5;0;0;0;0;73;0;0;0;0;0;27;0;0;0;62;87;0;0;0;55;0;21;91;103;45;0;60;69;52;0;49;15;26;22;0;21;16;0;0;30;46;0;7;11;0;0;15;0;0;22;15;18;0;6;0;123;12;18;0;48;0;0;0;0;0;0;0;0;25;0;110;14;0;18;68;0;27;40;1;0;17;0;0;25;11;20;22;5;0;37;14;23;40;13;12;23;18;35;0;3;2;30;0;7;4;0;4;54;0;6;0;14;0;47;22;15;0;0;6;41;0;0;0;0;0;6;6;0;0;0;0;2;0;0;0;4;0;4;0;0
"C2A18";2648;2317;1895;1667;1642;1793;997;1193;4107;3146;2931;259;396;185;182;318;262;504;41;323;85;410;112;359;22;16;159;16;45;93;0;58;0;109;0;101;329;0;674;0;70;37;70;425;0;49;235;76;77;85;475;0;247;29;61;336;523;89;98;28;0;300;0;1187;0;51;0;71;44;0;68;208;872;33;75;0;49;76;68;0;0;95;0;0;0;883;38;0;0;196;0;70;0;36;180;0;0;0;67;64;0;172;0;63;75;0;51;29;96;0;88;24;15;0;0;0;87;19;0;50;35;132;0;7;0;11;0;0;0;12;20;0;99;16;0;62;41;108;38;87;0;0;38;26;0;23;0;0;28;40;0;67;0;0;0;46;19;0;68;0;107;39;17;58;34;13;0;27;0;0;29;0;0;13;34;0;0;0;0;0;0;0;0;50;43;0;0;36;0;0;0;25;0;11;0;0;24;20;0;0;0;0;0;35;12;0;0;0;3;0;15;0;0;0;0;0;0;62;0;0;100;0;0;7;23;0;16;0;0;0;0;0;0;0;0;35;107;8;12;49;0;0;26;0;31;0;0;0;0;4;60;0;0;12;19;10;15;33;45;51;0;0;0;19;7;5;10;6;26;0;10;0;0;0;0;0;0;0;0;0;0;10;7;0;3;0;1;0;0;0;11;0;0;0;0;0;3;0;5;3;0;0;8;0;5;5;0;0;0;4;0;5;0;0;10;0;0;0;16;13;0;5;2;12;0;0;0;0;0;1;0;0
"C3A17";0;15691;0;12146;11592;0;7228;0;1296;1083;967;32;0;0;0;0;0;0;0;336;0;0;33;0;0;1796;0;41;0;0;58;0;31;0;30;0;11;1345;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;0;0;0;0;0;0;0;0;0;37;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;68;62;0;0;0;0;0;0;726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;73;0;25;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;357;0;0;0;0;0;0;0;0;97;0;0;0;0;0;22;0;0;0;0;0;0;0;29;0;0;0;96;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0
"C3F18";51;1661;0;1295;1206;35;811;0;331;270;222;410;0;321;325;0;0;297;131;0;4;240;0;226;90;5262;0;93;1;0;0;2;0;22;0;0;13;3721;98;8;0;273;0;8;0;342;8;0;0;149;0;0;6;0;193;0;0;181;0;208;0;0;0;0;81;0;0;276;289;0;0;13;0;0;9;0;0;0;0;0;5;451;0;0;0;0;0;164;0;0;152;0;0;0;0;0;0;33;0;0;0;0;950;0;335;0;0;0;27;0;0;0;0;0;0;0;361;0;0;15;0;0;754;0;0;0;0;691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0;0;54;0;0;0;19;0;0;171;0;0;0;0;0;0;0;0;116;75;0;0;0;31;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;79;0;0;0;0;46;0;0;0;139;14;0;5;0;0;13;0;12;85;0;26;0;0;0;0;106;0;15;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;77;0;0;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;20;0;3;10;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"C3A18";708;136;597;88;104;533;65;319;986;743;712;1839;477;1358;1291;414;408;734;77;0;181;604;0;464;67;0;109;66;120;20;0;119;49;83;0;63;136;60;187;0;22;149;18;612;43;302;106;56;62;147;131;0;91;24;114;474;124;34;38;122;19;407;38;165;0;0;4;227;194;0;115;515;183;47;176;12;31;83;88;0;0;293;0;16;0;138;49;0;0;137;0;90;79;20;378;40;0;0;135;257;0;400;43;130;201;39;24;0;0;48;101;0;11;0;0;54;252;0;27;81;51;0;21;9;71;0;0;33;0;77;26;0;186;15;0;22;164;261;23;0;0;0;199;39;11;45;19;0;16;0;0;192;0;0;72;32;77;0;159;0;22;0;15;155;0;5;0;25;0;22;0;0;15;0;111;0;21;0;129;24;15;0;0;95;22;0;16;61;0;0;0;0;0;0;13;130;0;92;0;0;0;164;0;86;0;32;0;0;1;0;13;0;16;8;0;0;0;0;37;60;64;0;0;64;57;0;21;57;5;30;74;7;0;0;0;19;70;46;64;19;0;0;0;0;113;0;55;0;11;56;18;5;0;17;96;0;49;97;0;12;0;83;0;5;20;9;2;41;0;10;14;0;4;33;0;0;53;0;7;0;125;22;6;0;19;27;4;0;5;17;1;17;0;11;0;0;20;0;2;2;2;11;0;1;5;1;0;12;9;3;0;1;23;0;7;10;16;0;1;8;9;5;0;5;0;4;2;0;0;2;0;0
"C4A17";0;12126;0;9301;8831;26;5426;0;648;457;500;0;0;38;0;0;0;0;0;801;0;0;0;21;0;57;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;58;0;0;0;8;9;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;1604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
