;Samples;NMDS1;NMDS2;Label;Date;Site;Vanadium;Iron;Nickel;Copper;Zinc;Molybdenum;Cu_Level
1;C1A17;-1,44803731839265;-1,00053668793904;CC1;A17;Chanaral;0;0,73;0;11,66;0;5,27;Higher
2;C1F18;0,0306880134234476;-0,0522375670429098;MC1;F18;Chanaral;5;28,7;14;15,2;28,8;17,8;Higher
3;C1A18;0,279561390668119;-0,171491747354349;MC1;A18;Chanaral;5;24,4;27,1;5;20;22,9;Higher
4;C2A17;-1,76465154538568;-0,447255675298266;CC2;A17;Chanaral;0;0;0;24,34;0;6,39;Higher
5;C2F18;-0,242232267811686;-0,0360635930347917;MC2;F18;Chanaral;5;20,4;16;14;20,9;30;Higher
6;C2A18;0,261506925641326;-0,237351552860047;MC2;A18;Chanaral;5;36,1;26,1;5;20;21,7;Higher
7;C3A17;-1,6727502113649;0,181191674615718;CC3;A17;Chanaral;0;1,69;0;24,17;1,64;8,4;Higher
8;C3F18;-1,28467586320819;-0,0046397275153333;MC3;F18;Chanaral;5;27;15,6;18,9;24,9;21,6;Higher
9;C3A18;0,21739269109683;-0,374434646321089;MC3;A18;Chanaral;5;20;29;5;20;22,6;Higher
10;C4A17;-1,69569154230634;0,448577326028935;CC4;A17;Chanaral;0,15;2,07;0;13,13;1,37;5,81;Higher
11;C4F18;-1,01014822279831;-0,209664018193837;MC4;F18;Chanaral;5;23;14,5;19,9;26,8;18,6;Higher
12;C4A18;0,261749738190216;-0,388842870799131;MC4;A18;Chanaral;5;29,2;29,5;21,6;20;21,7;Higher
13;F1A17;-0,079209982528521;-0,16390199501405;CF1;A17;Flamenco;0;1,86;0;0,89;0;4,34;Lower
14;F1F18;-0,444520030021079;0,0554142924168658;MF1;F18;Flamenco;5;34,8;13,5;5;20;17,7;Higher
15;F1A18;0,164241878488571;-0,183079787598725;MF1;A18;Flamenco;5;31,2;27,8;5;21,8;21,9;Higher
16;F2A17;0,00228082180445765;-0,144420678049319;CF2;A17;Flamenco;0,15;0;0;0,61;0;5,3;Lower
17;F2F18;-0,0242922688373742;0,00888374828731403;MF2;F18;Flamenco;6,6;27,7;13,3;5;20;99,9;Higher
18;F2A18;0,25112518500815;-0,0625525506408845;MF2;A18;Flamenco;5;27,1;26,5;5;20;21,7;Higher
19;F3A17;-0,0406596342925314;-0,185842661639899;CF3;A17;Flamenco;0,21;1,11;1,69;1,5;0;8,57;Lower
20;F3F18;0,0339736305806575;-0,0241371444885927;MF3;F18;Flamenco;5;21;13,4;5;20;17,6;Higher
21;F3A18;0,125683880661799;-0,351509101614672;MF3;A18;Flamenco;5;30,4;25,9;5;20;21,9;Higher
