"";"ASV0261_Aureococcus_anophagefferens";"ASV0039_Picochlorum_sp.";"ASV0003_Ostreococcus_lucimarinus";"ASV0102_Chloroparvula_pacifica";"ASV0083_Pelagomonas_calceolata";"ASV1742_Brockmanniella_brockmannii";"ASV0008_Ostreococcus_lucimarinus";"ASV0101_NA";"ASV0118_Chloroparvula_pacifica";"ASV0676_Parmales_env_3A_sp.";"ASV0071_Phaeocystis_globosa";"ASV0688_Florenciella_parvula";"ASV0270_Chloropicon_laureae";"ASV0147_Teleaulax_sp.";"ASV0021_NA";"ASV0073_Chloroparvula_pacifica";"ASV0043_Plagioselmis_prolonga";"ASV1403_Chrysochromulina_sp.";"ASV0425_Parmales_env_3B_sp.";"ASV0134_Pelagomonadales_clade_B1_sp.";"ASV0063_Teleaulax_gracilis";"ASV0013_Bathycoccus_prasinos";"ASV0569_Chlorodendrales_X_sp.";"ASV0006_Ostreococcus_lucimarinus";"ASV0081_Phaeocystis_globosa";"ASV1207_Chrysochromulina_sp.";"ASV0142_Teleaulax_sp.";"ASV0561_Chloroparvula_pacifica";"ASV0023_Micromonas_commoda_A2";"ASV0053_Ostreococcus_lucimarinus";"ASV0085_Chloroparvula_pacifica";"ASV0034_NA";"ASV1079_Micromonas_pusilla";"ASV0001_NA";"ASV0025_Picochlorum_sp.";"ASV1191_Pelagomonadaceae_clade_C_sp.";"ASV0086_NA";"ASV1272_Thalassiosira_gravida";"ASV0775_Pelagomonadaceae_clade_C_sp.";"ASV0042_Tetraselmis_striata";"ASV0052_Phaeocystis_globosa";"ASV0206_Kathablepharidida_XX_sp.";"ASV1506_Pelagomonadaceae_clade_C_sp.";"ASV0510_Crustomastigaceae_X_sp.";"ASV0395_Kathablepharidida_XX_sp.";"ASV0038_Micromonas_commoda_A2";"ASV0452_Chrysophyceae_Clade-EC2H_XX_sp.";"ASV2590_Rhizosolenia_imbricata";"ASV1411_Florenciellales_X_sp.";"ASV0029_NA";"ASV0325_Teleaulax_amphioxeia";"ASV0064_Chloroparvula_pacifica";"ASV0349_Teleaulax_amphioxeia";"ASV0834_Chrysophyceae_Clade-EC2H_XX_sp.";"ASV0652_NA";"ASV0190_Teleaulax_amphioxeia";"ASV0223_NA";"ASV0238_NA";"ASV0143_NA";"ASV0462_Cylindrotheca_closterium";"ASV0867_Micromonas_pusilla";"ASV0107_Teleaulax_gracilis";"ASV0036_Ostreococcus_lucimarinus";"ASV1593_Micromonas_pusilla";"ASV0037_Picochlorum_sp.";"ASV0145_NA";"ASV0032_Plagioselmis_prolonga";"ASV0315_Guinardia_delicatula";"ASV1112_NA";"ASV0442_Rhodomonas_sp.:nucl";"ASV1119_Micromonas_pusilla";"ASV0799_NA";"ASV0040_Plagioselmis_prolonga";"ASV0072_Pelagomonas_calceolata";"ASV0035_Micromonas_commoda_A2";"ASV0279_Chloroparvula_pacifica";"ASV0403_Aureococcus_anophagefferens";"ASV0210_Aureococcus_anophagefferens";"ASV1389_NA";"ASV0277_Aureococcus_anophagefferens";"ASV0882_Dictyocha_speculum";"ASV0273_Crustomastigaceae_X_sp.";"ASV0838_NA";"ASV0720_NA";"ASV0135_NA";"ASV0711_Chloroparvula_pacifica";"ASV0456_Chlorodendrales_X_sp.";"ASV0631_Chloroparvula_pacifica";"ASV1335_Pelagomonadaceae_clade_C_sp.";"ASV0016_Bathycoccus_prasinos";"ASV0045_Rhizosolenia_delicatula";"ASV0050_Ostreococcus_lucimarinus";"ASV1284_Chloropicon_roscoffensis";"ASV1412_Brockmanniella_brockmannii";"ASV0056_Pelagomonas_calceolata";"ASV0932_Pedinellales_X_sp.";"ASV0501_Paraphysomonas_sp.";"ASV0017_Bathycoccus_prasinos";"ASV0127_Pycnococcaceae_X_sp.";"ASV0382_Kathablepharidida_XX_sp.";"ASV0048_Chloroparvula_pacifica";"ASV0097_Teleaulax_gracilis";"ASV0030_Rhizosolenia_delicatula";"ASV0120_Pycnococcaceae_X_sp.";"ASV0104_Teleaulax_sp.";"ASV0077_Pycnococcaceae_X_sp."
"C1A17";0;0,0570072867095286;0;0;0;0;0;0;0;0;0,508692217860514;0,0763060509104736;0;0;0,200878234253029;0;0;0;0;0;0;0;0;0;0,502936535863419;0;0;0;0;0;0;0,179896908716468;0;0;0;0;0;0,098051428341787;0;0;0,583803047821698;0;0;0;0;0;0;0;0;0,179896908716468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0349096910147225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0870800688368216;0;0;0;0;0;0;0;0;0;0;0;0,107283816100197;0,0581828183578709;0;0
"C1F18";0,0169647550104761;0;0,379267577971311;0,0665745060327774;0,0455212145100658;0;0,29637383304702;0,0185839580035731;0,0597390669144731;0;0,0799326257478981;0;0,0541810825673301;0,0541810825673301;0,164479402300576;0,0956667790802121;0,0695348037395662;0;0,0394225281768377;0,0200729688285432;0,0687020215574025;0,109944178234911;0;0,364564651362055;0,0777422739818883;0;0,0621011998948279;0,0239917866181523;0,0577798735353368;0,0678590200419045;0,0670054134829523;0,133364987896173;0,0169647550104761;0,427632985916782;0;0,0429178126238866;0,0941505693398433;0;0,0435832447499281;0;0,0834555599351205;0,113549859017672;0,0283874647544181;0,0455212145100658;0,0897690456217136;0,0616360158175743;0,0485796653244637;0,0227606072550329;0,0303474763400438;0,140715458939324;0;0,0983370625054459;0;0;0;0;0,0151737381700219;0;0;0,0587676352322067;0,0283874647544181;0,0485796653244637;0,0871664894998562;0,0169647550104761;0;0,0185839580035731;0,0577798735353368;0,0330703956394357;0;0;0,0107294531559717;0;0,0587676352322067;0,0473799822500041;0,0497504276168867;0,0611672940659563;0,0131408427256126;0,0227606072550329;0;0,0131408427256126;0;0;0;0,0312814626052334;0;0,0273548455062396;0;0,0227606072550329;0,0379343454250548;0,105672858424197;0,0904079792764969;0,0834555599351205;0;0,0273548455062396;0,0485796653244637;0,0251627980885283;0;0,0944557583714711;0,1926825776269;0,0941505693398433;0,115559747070674;0,0592553418123531;0,111245338061042;0,204141768728207;0,0719753598544568;0,226210870327094
"C1A18";0,0714285714285714;0;0,368657902633261;0,136952816174457;0,161684524075617;0;0,290688001285486;0,134626864385191;0,127394461741514;0;0,0497808608883693;0,0440866714177405;0,0435321000157174;0,0646437497589366;0,0482945288416295;0,114963973737565;0,0884484553381272;0,0260820265478651;0;0,114752448307712;0,0697071480677524;0,169318074349029;0;0,356530086561999;0,0507475698001585;0;0,0653911011738662;0,039432317676706;0,0693577366039446;0,0675835875211962;0,149342582665108;0,0303846414069759;0;0,425841646474039;0,0653911011738662;0,0120736322104074;0;0;0,019716158838353;0;0,0599643561116708;0,0406459027109923;0,00985807941917649;0;0;0,059557813416628;0,0368855556781659;0;0;0,0424012028360474;0,05705775976557;0,120736322104074;0,0341493888381255;0;0;0;0,0942980820583504;0;0,0362208966312221;0;0,00697071480677524;0,0753998089873925;0,0867846994705651;0,00985807941917649;0;0,113688917964889;0,112183037994188;0;0;0;0,0120736322104074;0;0,0945553760756139;0,165545304413659;0,063887656499994;0,0526277426866434;0,0587362869879862;0,0900814877830348;0;0,0763603548321213;0,0406459027109923;0;0;0,0406459027109923;0;0,0295742382575295;0;0,0424012028360474;0;0,154931879447689;0;0,080390204838734;0;0;0,193052307397872;0;0;0,142346024428341;0;0;0,126629322918274;0,063887656499994;0;0;0,0690065559342354;0
"C2A17";0;0;0;0,305771049903927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,201619459636378;0;0;0;0;0;0;0;0;0;0;0,33129457822454;0;0;0,377195470232912;0;0;0;0;0;0,608209420501682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,156173761888606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,33129457822454;0,33129457822454;0;0
"C2F18";0;0;0,26534879342987;0,0581962994456023;0,0654069940167729;0;0,214451171162188;0,0133511467458638;0,0400534402375915;0;0,113288236807404;0;0;0,0981104910251593;0,105127034604019;0,0875493240149367;0,0865253200863353;0;0;0,018881372801234;0,140028008402801;0,0953462589245592;0;0,256814435320424;0,11562432251572;0;0,0706476280141699;0;0,037762745602468;0;0,0499554168435642;0,134177364195264;0,018881372801234;0,299434999746329;0;0,0981104910251593;0,106809173966911;0,0327034970083864;0,110096376512636;0;0,134177364195264;0,14317509816446;0,0854890513259633;0;0;0,0327034970083864;0,0895622151039798;0,0267022934917276;0;0,0934580272210467;0,0718981255907142;0,0844400661841498;0;0,055048188256318;0;0;0,018881372801234;0;0;0;0,0298540717013266;0,113288236807404;0;0;0;0,0267022934917276;0,105971442021255;0,0934580272210467;0,0731272424127131;0,135499340593406;0,0353238140070849;0,0844400661841498;0,0895622151039798;0,0706476280141699;0,023124864503144;0,0534045869834553;0;0;0,0517087689995019;0;0;0;0;0,0667557337293191;0;0;0;0;0,0915308506089107;0,0875493240149367;0,265684465662029;0;0;0,0327034970083864;0,0611826405773843;0,0481382441784562;0;0,0905518828835775;0,207265534478193;0;0,111703707906548;0,12381344139852;0,321538192551308;0,23124864503144;0,0823019959558966;0,244001110426742
"C2A18";0,0621333961468283;0;0,330439760066993;0,224153711100089;0,131476555711712;0;0,262185043110557;0,109476110300795;0,225563093846657;0,0240042251154632;0,0592860626345045;0,0293990516018927;0,0514833272779804;0,0602501268661001;0,048604851361924;0,173595528927152;0,076286620820939;0;0;0,101841302137635;0,0699837409606517;0,151055062167396;0;0,321423655374825;0,0401667512440667;0;0,0621333961468283;0,0531356173825974;0,0699837409606517;0,0635092100703264;0,261524903473547;0,0303632099329128;0;0,39061298958776;0,0803335024881335;0,0131476555711712;0;0;0,0240042251154632;0;0,0461730489198752;0,0262953111423425;0,0169735503562725;0;0;0,0578098294036943;0;0;0,0151816049664564;0,0356040195970404;0;0,165437704623847;0;0;0;0;0,0788859334270275;0,0467928491213836;0,0607264198658256;0;0;0,0661750818495387;0,0732030481439309;0;0;0,0995524412677758;0,0957163773445379;0,0273690275751987;0;0;0;0;0,0792503045735018;0,139141707859408;0,0509206510688174;0,078519871435924;0,0449077931085287;0,075527531083698;0;0,0625953608431014;0;0,0330875409247693;0;0;0;0,0542091726491796;0,0597700385230073;0,0587981032037855;0,0169735503562725;0,135363398981866;0;0,0635092100703264;0,0214700316421534;0;0,156488402107754;0;0;0,122867872012656;0;0,025175843694566;0,197068694359973;0,0625953608431014;0,0303632099329128;0;0,0657382778558562;0,0716114874039433
"C3A17";0;0,0874242416473452;0;0,109913001278732;0;0;0;0;0;0;0;0;0,078509286627666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,100540943213834;0;0;0,0902003030735275;0;0;0,0314037146510664;0;0,0860026145192227;0,106495177729719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,119581782731908;0;0;0,296677858087337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,575853709781428;0;0;0;0;0;0;0;0,123636548217858;0;0;0;0,665432783197999;0,127562491936746;0;0,166913032901174
"C3F18";0;0;0;0;0;0;0;0,0339076725180877;0;0;0,130648659603245;0,0572041011554064;0;0;0,107637090934448;0;0;0;0;0;0,114794065808663;0;0;0,055636567212709;0,135630690072351;0;0;0;0,0188085925993241;0;0;0,0906917491668389;0;0,0671601089448467;0;0;0,0846386666969583;0,00940429629966203;0,0420572916131881;0;0,155384475953911;0;0;0;0;0,0132996833715572;0,0479526903435851;0,00940429629966203;0;0,0892169882940762;0;0;0;0;0;0;0;0;0;0,0968231564375729;0;0;0;0;0;0;0;0,10128737093761;0,0297389960980254;0;0;0,0297389960980254;0,0441100595739839;0;0,00940429629966203;0;0;0;0,0230357273241159;0;0;0;0;0;0;0;0;0;0;0;0,573662074279384;0;0;0;0,0265993667431143;0,0339076725180877;0,0420572916131881;0;0,115943951595412;0;0,0930977836009001;0;0,682184308782345;0,120433755144732;0,0282128888989861;0,126521866842939
"C3A18";0,129239755147438;0,065289531496328;0,227893887992697;0,126174344469317;0,188166677614803;0,0294948038419568;0,166586902763239;0,21166503694349;0,10956833329353;0;0,0995859195463938;0,065289531496328;0,0527619090989099;0,106345027611928;0,0818447591071135;0,103861921923178;0,0740313700950869;0,0279812277841406;0,0373083037121874;0,181339081692101;0,113084785754009;0,203706413105533;0;0,215332269019078;0,103020920859994;0,0131904772747275;0,108370829214413;0,0406557814090871;0,125482972994454;0,0395714318241825;0,119808459574631;0,0757735230424082;0;0,248177348926581;0;0,0131904772747275;0;0,0309344112444873;0,0131904772747275;0;0,113851471047875;0,0818447591071135;0,00932707592804686;0;0;0,101746386170412;0;0;0,0161549693934298;0,0763454068011031;0;0,106753263384073;0;0,0186541518560937;0;0,0785913387155107;0,150683523123568;0,131574597579254;0,149524401886316;0;0;0,0849737057301065;0,0417119516128294;0;0;0,186541518560937;0,0973775315206905;0;0,0309344112444873;0;0;0,0294948038419568;0,0849737057301065;0,203064816509949;0,102172997627094;0,0437478639259807;0,0864957438352281;0,127204356208286;0,0323099387868596;0,117609952442132;0,104279879032074;0,0818447591071135;0,053579971977682;0;0,0589896076839136;0,0323099387868596;0;0,0395714318241825;0,00932707592804686;0,189777920165034;0,0722472194762751;0,0437478639259807;0;0;0,230739115376958;0,0484649081802894;0,0510864988135469;0,188397698791575;0;0;0,127545845027316;0,100021746221851;0;0;0,123737644977949;0,0543857310560108
"C4A17";0;0,3981087364499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,313230278784108;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0614295116833951;0;0;0,467833222984753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,221487254201195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,463782642649163;0;0;0,506560730401504
